Check this.	Sjáðu þetta.
You come in the morning, alright?	Kemur þú á morgun?
See, I'm getting promoted.	Ég verð hækkaður í tign.
You and I going to be peers.	Við verðum jafningjar.
No.	Nei.
I got to tell you I had a bad case of deja vu, I didn't work the caper.	Ég hef sterka tilfinningu um "déjá vu" úr öðru máli.
What caper?	Hvaða máli?
What caper?	Hvaða máli?
The caper. Uncle Eddie.	Eddie frænda málinu.
Isn't that why Brainerd brought you in?	Var það ekki þess vegna sem Brainerd kallaði þig inn?
No, no, no, you're cold.	Nei, þú ert kaldur.
It is a camera obscura.	Þetta er camera obscura.
A device used in the Renaissance... to draw in perspective.	Notaðar á Endurreisnartímanum til að mála fjarvídd.
May I?	Má ég?
Hey, Hey! You want to hold off on that until I mark the aperture?	Bíddu aðeins þartil ég hef merkt blandarann.
The pinhole focuses the light.	Gatið fókuserar ljósið.
I think I'm getting a cold. OK.	Ég held að ég sé að kvefast.
That's why you're good at what you do.	Þess vegna ertu góður í þínu starfi.
You never mentioned your mother before.	Þú hefur aldrei nefnt mömmu þína.
She live in the city?	Býr hún í borginni?
Staying sober?	Heldur þú þér edrú?
Four years and three months.	Fjögur ár og þrír mánuðir.
You're gonna ask me that everytime?	Ætlarðu að spyrja að þessu í hvert skipti?
Yes, it's certainly the best place to get to know someone.	Þetta er ekki besti staðurinn til þess að kynnast betur.
Or maybe that's the idea.	Kannski er það hugmyndin.
You probably you keep a girl like me... at every donation center.	Þú hefur örugglega stúlku í hverjum blóðbanka.
It's so weird to think of my blood in someone else's body.	Skrýtið að ímynda sér sitt blóð í líkama annars.
You know, if you 'd run into me a couple of months later, then you thought wouln't be accepting my blood right now.	Ef þeir hefðu séð mig áður fyrr hefðu þeir ekki tekið við blóðinu.
No, you 'd estrange yourself out of it sooner or later.	Þú hefðir náð áttum fyrr eða síðar.
Can I pick who it goes to?	Fær maður að vita hvert það fer?
No.	Nei.
It's my blood.	Þetta er mitt blóð.
That is the trouble with transfusions. You have to replace like with like.	Vandamálið er að blóðgjafar og móttakendur verða að vera í sama blóðflokk.
It's not true. If you are old you can give to anybody.	Ef maður er 0 getur maður gefið hverjum sem er.
She had this birthmark... under his left arm.	Hún var með fæðingarblett undir vinstri handlegg.
She always used to say that no matter how many guys she was with, no man would ever find her Think about it too Sorry.	Karlmaður skyldi aldrei finna hann, sagði hún. Hugsar þú líka um hana?
Let's go to somewhere away from here.	Fyrirgefðu. Förum héðan.
Above ground, maybe Like hiking I'm going with some friends this weekend.	Kannski í göngu? Ég ætla í ferð með nokkrum vinum um helgina.
You could come.	Viltu koma?
I 'd love to but I got to work.	Mjög gjarnan, en ég verð að vinna.
Shocking.	En sjokkerandi.
Another time.	Einhvern tímann seinna.
Probably.	Líklega...
Probably not. I got to go.	Líklega ekki Ég verð að fara.
Looks like an egg.	Þetta lítur út eins og egg.
Sometimes a circle is just a circle, chief Building management got back to us this morning.	Stundum er hringur bara hringur.
The hanging man was identified as Martin Calderon.	Hússtjórnin bar kennsl á þann hengda sem Martin Calderon.
Works as a day trader, never left his apartment.	Hann var verðbréfamiðlari og yfirgaf aldrei íbúðina.
I thought that you might want to take a look at the report Carl put together.	Þú vilt kannski sjá skýrsluna sem Carl tók saman.
He was up all night. It's a theory it was a ritual killing, some kind of a copycat imitating Uncle Eddie.	Hann er með kenningu um að þetta sé eftirherma, að líkja eftir Eddie frænda.
No, this is different.	Nei, þetta er öðruvísi.
It's less spontaneous.	Þetta er minna hvatvíst.
It don't seem so different to me.	Þetta virkar ekki svo ólíkt.
Intestines had been removed The killer went to the trouble of.. removing them and closing the incision before he strung him up.	Morðinginn tók þau og saumaði saman sárið áður en hann hengdi hann upp.
I would have cleaned the body completely but I want to show you...	Ég hefði átt að þvo líkið en ég vildi sýna ykkur...
Like a stage set, seen from one side.	Eins og leikmynd séð frá einu horni.
Excuse me...	Afsakið.
Are you the owner?	Ert þú eigandinn?
Yeah You can't put a painting like that in the window Why?	Þú getur ekki haft svona málverk í útstillingarglugganum.
It is irresponsible.	Það er ábyrgðarlaust.
I don't have to look at that everytime I leave my apartment.	Ég vil ekki sjá hana þegar ég fer út.
So, buy it and burn it.	Keyptu hana þá.
Don't get fresh with me.	Engan dónaskap.
You take it down, right now.	Taktu hana niður á stundinni.
How much is this? - Fifty dollars.	Hvað kostar þessi? 50 dollara.
Why not have more of those?	Af hverju ekki myndir af fiðrildum?
Pictures of butterflies.	Hvenær sást þú síðast fiðrildi?
When was the last time you've seen a butterfly?	Hvaðan fékkstu þessa? Veit ekki.
Where did you get this?	Í hverfinu.
I don't know, a state lot. I may need to call you.	Ég gæti þurft að hringja í þig.
You're a cop?	Ertu lögga?
These aren't commercial pigments.	Þetta er ekki atvinnumannalitur.
Why?	Af hverju?
Ok, this is what I've got.	Þetta er það sem ég er með.
Louis comf.., 1745.	Louis frá 1745.
See I stumble upon this invaluable collection... of Civil War porn.	Ég rakst á ómetanlegt safn af 19. aldar klámi.
I am not interested in pornography, I need something functional, something I can touch.	Ég hef ekki áhuga á því.
Okay, I was ready to diversify. But you hold on to those.	Ég vil eitthvað sem ég get snert á.
Tell me which one you want to pursue.	Allt í lagi, segðu mér hvern þú vilt.
Oye, oye, not her.	Nei, nei, nei, ekki hún.
She's mine. Russ, another round.	Hún er mín. Ross, einn umgang til.
Sorry, Stan, but this is joke.	Ég vil sýna þér þetta.
And doesn't go with your chair.	Þetta passar ekki við stólinn.
No, you don't understand.	Þú skilur ekki.
It is a picture of of the crime scene... I am working on.	Þetta er mynd af glæpavettvanginum sem ég er að vinna við.
It was in the window of the antique store near my place.	Hún fannst í glugganum hjá fornmunabúðinni þar sem ég bý.
I think the killer painted it. Wow.	Ég held að morðinginn hafi málað hana.
That would be quite a coincidence I mean if you're right.	Þvílík tilviljun efþú hefur rétt fyrir þér.
Come on, I mean anybody could have done this.	Hver sem er hefði getað málað þetta.
It has been in the news for the last couple of days... if you haven't noticed."	Myndin hefur verið í dagblöðunum síðustu sjö daga.
Copycat Killer on The Loose "All these years, Stan... I do not know how you can stand it.	EFTIRHERMUM0RĐINGI GENGUR LAUS Ég skil ekki hvernig þú þolir þetta.
You know, just sticking it out till I can collect my pension.	Ég held þetta út fram að eftirlaunum.
You know my brother got a f... watch Beer?	Bróðir minn fékk úr. Bjór?
No, thanks.	Nei, takk.
Two shots already yeah? - Yes.	Við drekkum þetta beint.
Cheers, Cheers. - Cheers.	Skál!
Carl, you know you'll f... it for commissioner one day.	Carl, þú verður lögreglustjóri einn daginn.
Miss? Miss, Could I get some milk?	Ungfrú... gæti ég fengið smá mjólk?
Sure are a lot of cops here, aren't there, Mr. Aubrey?	Hér er mikið aflöggum, hr. Aubrey.
How do you know my name?	Hvernig veistu hvað ég heiti?
You think he'll kill again?	Mun hann drepa aftur?
Who do we call him?	Hvað eigum við að kalla hann?
Oh, will think of something snappy.	Finndu eitthvað æsifréttalegt.
What do you want?	Hvað viltu?
Why don't you walk away after the Uncle Eddie murders?	Af hverju hvarfst þú eftir Eddie-frænda morðin?
It is sad what happened to that girl.	Það var leitt, það sem kom fyrir stúlkuna.
Excuse me.	Afsakaðu mig.
No, wait, wait, don't.	Nei, bíddu...
Detective Aubrey, it's Martin.	Aubrey, þetta er Martin.
I got the results back from the Lab.	Ég fékk svörin frá rannsóknarstofunni.
No?	Nei?
You see this is the thing, You and I have been working... in the same office... about what five years now?	Vð höfum unnið á sömu skrifstofu í... fimm ár núna?
I don't even know if you're married.	Ég veit ekki einu sinni hvort þú sért giftur.
I don't even know where you fucking live.	Ég veit ekki hvar þú býrð.
Look, if you want to slip out all mysteriously from my party, well, I don't give a shit But you and I are gonna have to work together at some point.	Efþú vilt leika þig dularfullan, þá máttu gera það. En þú og ég verðum á endanum að byrja að vinna saman.
Both got the same shield Now, Stan, you understand me?	Við erum með sömu tign, skilurðu mig?
Christ...	Almáttugur!
You're OK, Stan?	Er allt í lagi, Stan?
The human jigsaw.	Mannlega púsluspilið.
We need an anthropologist to piece this guy back together.	Það þarf mannfræðing til að raða því saman.
Tissue works come back It's all pieces of the same guy.	Allt erfrá sama stað...
A Jeff Sarno.	Jeff Sarno nokkrum.
Except the intestines.	Fyrir utan innyflin.
They belong to Mr. Calderon.	Þau tilheyra hr. Calderon.
We checked for evidence of sexual assault, none.	Við athuguðum merki um kynferðis - misnotkun.
Hey, Stan, Nice you can make it.	Stan, gott að þú gast komið.
What did I missed?	Hverju missti ég af?
Meet Jeff Sarno.	Má ég kynna Jeff Sarno.
What else you got?	Hvað ertu með meira?
This might interest to only to students of anatomy... and human behavior.	Þetta er áhugavert eingöngu fyrir líffærafræðinema og áhugasama um hegðun.
Victim had extensive cosmetic surgery.	Fórnarlambið hefurfarið í lýtaskurðaðgerðir.
Didn't you read the case file?	Ertu ekki búinn að lesa skýrsluna?
We were talking about the moment you found the girl.	Þú varst að tala um hvenær þú hittir stúlkuna.
They were pulling here out of the River when I got there She was wearing a fur coat that had become big... and heavy with the water.	Þeir voru að draga hana úr ánni þegar ég kom. Hún var íklædd pels sem var orðinn mikill og þungur af vatninu.
Was she able to speak?	Gat hún talað?
She had multiple stab wounds to the abdomen.	Ég reyndi að stöðva blæðinguna.
I tried to use my hands to stop the bleeding, but she took a big gasp of air... and looked right through me.	Hún dró andann djúpt og horfði beint í gegnum mig.
And then she stopped breathing.	Síðan hætti hún að anda.
He said you had met the victim before.	Þú hafðir hitt fórnarlambið áður.
I'm sorry, I know it's late, but did you hear any noises upstairs earlier?	Afsakið, en hafið þér heyrt hljóð að ofan?
Not only you just now.	Nei, bara í þér, núna.
Someone broke into my apartment No, didn't hear anything.	Einhver braust inn í íbúðina mína.
What you think?	Hvað heldur þú?
White male, age 43, lives alone.	Hvítur, karlmaður, um 43 ára, býr einn.
One case of corrupting a minor... brought by the DA's office five years ago, then later dismissed.	Ein kæra fyrir spillingu með ólögráða sem var síðarfelld niður.
Drives a Lincoln, similar to the one identified by witnesses... at three of the last five murder scenes.	Keyrir Lincoln, sem vitni hafa séð nálægt þremur morðstaðanna.
And we got prints and blood type... based on saliva match I think this is our guy.	Við erum með fingraför og blóðflokk á grundvelli munnvatnssýnis.
I can have a warrant ready in three hours.	Ég fæ leitarheimild eftir þrjá tíma.
Hey Stan!	Stan!
Gun! Gun, gun!	Ég er með byssu!
Stop, don't shoot!	Stopp, ekki skjóta!
We can go get a coffee.	Ég varð að taka reykpásu.
No, this is good.	Við getum keyrt og náð í kaffi.
I really need a cigarette.	Nei, ég þurfti bara sígarettu.
Mind if I smoke in here?	Má ég reykja í bílnum?
No, hop in.	Ekkert mál.
How you doing, man?	Við erum félagar.
Thanks for returning my call.	Vinna að nýju máli?
We are buddies I heard that you are working on a new case.	Já, ég hafði ekki reiknað með því.
Last one? Talking about five years ago.	Það eru fimm ár frá síðasta málinu þínu.
You know, I think I know what is going on here.	Ég held að ég viti hvað um er að vera.
What's wrong with the one you've got, Stan?	Hvað er að þeim sem þú ert með?
Oh you know that I actually having company over the year?	Það er ekki eins og þú fáir heimsóknir?
I just want another chair.	Ég vil bara einn stól í viðbót.
What's wrong with having two matching chairs?	Hvað er rangt við það að vilja tvo eins stóla?
Nothing wrong, Stan.	Ekkert rangt, Stan.
I get you a Federal salty table or a Heppelwhite for the same price.	Ég get reddað Heppelwhite fyrir sama verð.
No, no, no, that's what I want. - OK.	Nei, þetta er sá sem ég vil fá.
What?	Hvað?
You just have to have it, don't you?	Þú verður bara að fá hann, er það ekki?
That's your problem, Stan.	Þetta er þitt vandamál.
Me, I love the feel of an object changing hands, to let it go.	Ég elska að láta hluti skipta um eigendur.
You can't let go of anything, can you?	Þú getur ekki sleppt neinu.
Like that girl, the memory of the girl.	Eins og minningunni um þessa stúlku.
Might not be your fault.	Kannski var þetta ekki þín sök.
Might just be the past that isn't through with you yet.	Kannski er það fortíðin sem er ekki búin með þig.
Keeps pulling you back all the time.	Hún dregur þig stöðugt til baka.
Now all of a sudden it's a copycat killer.	Nú er það eftirhermumorðingi.
We do not know if it is a copycat.	Það vitum við ekki.
I'm not so sure either, Stan.	Ég er heldur ekki viss.
I took a look at some photos from the Uncle Eddie killings, and I kept thinking about your painting... and He said it was a piece of junk.	Ég leit á myndina úr Eddie málinu. Ég hugsaði um málverkið þitt... Þú sagðir að það væri drasl.
