We both know it.	Við vitum það bæði.
I watched from 200 yards off as they were burned alive.	Ég sá þær brenna lifandi úr 200 metra fjarlægð.
All my sympathy, but my order stands.	Ég samhryggist þér en þetta stendur.
Damn your sympathy.	Fjandinn hirði samúð þína.
Who are you to give such an order?	Hvernig getur þú skipað þannig fyrir?
I know what you did to my countrymen at Fort Wilderness.	Ég veit hvernig þú fórst með landa mína í Fort Wilderness.
We're militia.	Við erum varaliðsmenn.
This is not regular army.	Þetta er ekki fastaherinn.
Every man here is free to come and go as he pleases.	Allir hér mega koma og fara þegar þeim þóknast.
But while you're here you will obey my command or I will have you shot.	En meðan þú ert hér hlýðirðu skipunum mínum eða ég læt skjóta þig.
Damn dogs!	Fjandans hundarnir.
Shoot the damn things!	Skjóttu þessa skratta!
Stay that pistol.	Láttu byssuna vera.
They won't let you near the wagon.	Þeir hleypa engum nálægt vagninum.
Rum, Madeira.	Romm, Madeira-vín.
No wonder they were guarding it.	Ekki skrítið að þeir hafi gætt þess.
Officers' uniforms.	Búningar yfirmanna.
What you think all this is worth?	Hvað heldurðu að allt þetta sé mikils virði?
It's the personal correspondence of Lord Cornwallis.	Þetta eru einkabréf Cornwallis lávarðar.
This is his journal.	Þetta er dagbókin hans.
I say we drink the wine, eat the dogs and use the papers for musket wadding.	Drekkum vínið, étum hundana og notum pappírinn sem framhlaðningstróð.
Eat the dogs?	Étum hundana.
Dog is a fine meal.	Hundakjöt er gott.
Good heavens.	Hamingjan sanna.
I have some maps here for you.	Ég er með kort handa þér.
Put them down over there. Thank you.	Settu þau þarna, þakka þér fyrir.
Here. A proper musket for you.	Almennilegur framhlaðningur handa þér.
I don't know about you, but I don't like the idea giving muskets to slaves.	Ég veit ekki um þig en mér er illa við að láta þræla fá skotvopn.
Your sense of freedom is as pale as your skin. Don't listen to them.	Skynbragð þitt á frelsi er eins litlaust og húð þín, Hlustaðu ekki á þá.
If we win this war, a lot of things will change.	Ef við vinnum þetta stríð þá breytist margt.
What will change?	Hvað breytist?
They call this the New World. It's not. It's the same as the old.	Þetta kallast nýi heimurinn en er eins og sá gamli.
But we'll have a chance to build a new world.	En við fáum færi á að byggja nýjan heim.
A world where all men are created equal under God.	Heim þar sem allir eru skapaðir jafnir gagnvart guði.
Equal.	Jafnir.
Sounds good.	Hljómar vel.
I've just been in the mind of a genius.	Ég var inni í huga snillings.
Cornwallis knows more about warfare than we could learn in a dozen lifetimes.	Cornwallis veit meira um hernað en við lærum á tólf mannsævum.
That's cheerful news.	Það eru góðar fréttir.
His victories at Camden and Charles Town were perfect.	Sigrar hans í Camden og Charles Town voru óaðfinnanlegir.
Perfect. And he knows it, what's more.	Það sem meira er, hann veit það.
Perhaps that's his weakness.	Kannski er það veikleiki hans.
Sir?	Herra?
Pride.	Stoltið.
Pride's a weakness.	Stoltið er veikleiki.
Personally, I would prefer stupidity.	Ég vildi sjálfur frekar hafa hann heimskan.
Pride will do.	Stoltið dugir.
Finished, my lord.	Búinn, herra minn.
I've taken it in at the back added wider epaulets and looped gold braiding.	Ég þrengdi hann að aftan, setti á hann breiðari axlaskúfa og gyllta borða.
It's a horse blanket.	Þetta er hrossaábreiða.
I don't know, my lord.	Ég myndi ekki segja það.
It's really quite nice.	Þetta er mjög gott.
Very nice, my lord. Very well.	Mjög gott, lávarður.
It's a nice horse blanket.	Mjög fín hrossaábreiða.
Colonel Tavington, why, after six weeks am I still attending a ball in South Carolina when I should be attending balls in North Carolina?	Tavington ofursti, eftir sex vikur fer ég enn á dansleik í Suður-Karólínu þegar ég ætti að sækja dansleiki í Norður-Karólínu.
First, the theft of my baggage including my memoirs, on which I spent countless hours.	Fyrst var farangri mínum stolið og einnig minningum mínum sem ég eyddi ótal stundum í.
Then half the bridges and ferries between here and Charles Town burned.	Þá var kveikt í annarri hverri brú og ferju héðan til Charles Town.
If you can't protect our supply lines against militia how do you intend doing so against the Regulars or the French?	Ef þið getið ekki varið vistaleiðir okkar gegn varaherjum hvernig hyggstu gera það gegn fastahernum eða Frökkum?
They won't fight like Regulars.	Þeir berjast ekki eins og fastaher.
We can't find them.	Við finnum þá hvergi.
Colonel, they're militia.	Þetta er varaherinn, ofursti.
They're farmers with pitchforks!	Þetta eru bændur með heykvíslar.
They're rather more than that, I'm afraid.	Þeir eru meira en það, er ég hræddur um.
Made so by their commander, this ghost.	Yfirmaður þeirra, draugurinn, sá um það.
Oh, ghost, ghost, ghost.	Draugur, draugur.
You created this ghost, colonel.	Þú bjóst drauginn til.
Your brutality swelled his ranks.	Hrottaleg framkoma þín hvatti fleiri til að gangast í lið með honum.
Without them this ghost would've disappeared and I 'd be in North Carolina by now!	Annars hefði draugurinn horfið og ég væri kominn til Norður-Karólínu.
Give me the horse blanket.	Láttu mig fá hestaábreiðuna.
O 'Hara, our supply ship appears to have arrived.	O ' Hara, birgðaskipið okkar virðist komið.
Yes, my lord, it has.	Já, lávarður minn.
Then why am I still wearing this rag?	Af hverju er ég þá enn í þessum lörfum?
Your replacement wardrobe is aboard ship, but Colonel Tavington thought it best to secure our arms and munitions first.	Nýju fötin þín eru enn um borð, Tavington ofursti taldi best að fá fyrst byssur og skotfæri.
They are being unloaded.	Verið er að skipa þessu í land.
You look good in that color.	Þessi litur fer þér vel.
It stinks.	Hann er ömurlegur.
Well, it's had a dead man in it.	Framliðinn var í þessu.
The beasts took your dogs too?	Tók ófreskjan líka hundana þína?
Fine animals.	Fín dýr.
A gift from His Majesty.	Hans hátign gaf mér þá.
Dead now, for all I know.	Dauðir nú að ég held.
Is there no decency?	Er engin sómakennd til?
Oh, fireworks.	Flugeldar.
Lovely!	Frábært.
Mr. Howard.	Hr. Howard.
I've come to call on Anne.	Ég kom til að heimsækja Anne.
I've come to call on Anne!	Ég kom til að heimsækja Anne!
Well, of course you call yourself a man.	Auðvitað kallarðu þig mann.
Father, stop it.	Hættu, pabbi.
You heard him.	Þú heyrðir hvað hann sagði.
Well call on her.	Jæja, heimsæktu hana þá.
I'm nearly finished.	Ég er næstum búin.
You needn't worry, Father.	Hafðu ekki áhyggjur, pabbi.
Yeah, I know.	Já, ég veit.
Bundling bags are a wonderful tradition.	Saumapokar eru dásamleg hefð.
I don't mind in the least.	Ég hef ekkert á móti þessu.
Be still.	Vertu kyrr.
Tea?	Te?
Please.	Þökk fyrir.
There.	Þarna.
Come, dear.	Komdu, góði.
It's very good.	Þetta er mjög gott.
I'm pleased that you like it.	Gott að þér skuli líka það.
Peter.	Peter.
Don't worry.	Kvíddu engu.
I sew better than my mother did.	Ég er betri saumakona en mamma var.
I hope so.	Ég vona það.
If you're just gonna stand there why don't you read it for us?	Ef þú ætlar bara að standa þarna viltu þá ekki lesa fyrir okkur?
I can't read.	Ég kann ekki að lesa.
I can.	Ég get lesið."
'Take notice.	Takið eftir.
By order of General Washington and the Continental Congress all bound slaves who give minimum one year service in the Continental Army will be granted freedom and be paid a bounty of five shillings for each month of service. '	Washington hershöfðingi og nýlenduþingið skipa svo fyrir að allir þrælar sem þjóna minnst eitt ár í nýlenduhernum fái frelsi og fái greidda fimm skildinga fyrir hvern unninn mánuð."
Did you hear that?	Heyrðirðu þetta?
First they'll free them, then they'll pay them.	Fyrst frelsa þeir þá, síðan borga þeir þeim.
Only another six months.	Bara hálft ár enn.
What will you do with freedom?	Hvað ætlar þú að gera frjáls?
I made this for you.	Ég bjó þetta til handa þér.
Look after your mother.	Gættu móður þinnar.
You know, Peter I can't pay you for this.	Þú veist, Peter, að ég get ekki borgað þetta.
Benjamin, you pay me what you can, when you can.	Benjamin, borgaðu það sem þú getur þegar þú getur.
I'm obliged.	Ég er þakklátur.
Gabriel sure reminds me a lot of you.	Gabriel minnir mig mjög á þig.
No, no, he's more like his mother.	Nei, hann er líkari móður sinni.
Corporal!	Undirliðþjálfi!
Take your time.	Gefðu þér nægan tíma.
Dogs.	Hundar.
Sir.	Herra.
This road is closed.	Þessi vegur er lokaður.
These wagons now belong to the Continental Army.	Nýlenduherinn eignar sér þessa vagna.
Ready arms!	Viðbúnir með vopnin!
By twos!	Tveir og tveir!
There's no need for your men to die.	Þið þurfið ekki að deyja.
Leave the wagons and go.	Skiljið vagnana eftir og farið.
This is the king's highway.	Þetta er vegur konungsins.
And I advise you and your men to make way.	Ég ráðlegg þér og mönnum þínum að fara.
Charge!	Árás!
Save yourselves!	Forðið ykkur!
Ambush!	Fyrirsát!
I have the count.	Ég er með tölurnar.
22 are dead.	22 féllu.
18 wounded and 20 are missing.	1 8 særðust og 20 er saknað.
I'm through.	Ég er hættur.
He won't be the last to leave.	Hann fer ekki síðastur.
Trust me.	Treystu mér.
Soon my countrymen will arrive.	Landar mínir koma fljótlega.
The French army is...	Franski herinn er...
To hell with you.	Fjandinn hirði þig.
And to hell with the French army.	Og fjandinn hirði franska herinn.
We don't need them.	Við þörfnumst þeirra ekki.
We got Benjamin Martin.	Við höfum Benjamin Martin.
We know what he done to the French.	Við vitum hvað hann gerði Frökkum.
Men always buy you drinks because of what happened at Fort Wilderness.	Menn gefa þér sífellt að drekka vegna þess sem gerðist í Fort Wilderness.
Strangers know more about you than I do.	Ókunnugir vita meira um þig en ég.
Tell me what happened.	Segðu mér hvað gerðist.
Your mother asked me that question around about the time you were born.	Móðir þín spurði mig þess um það leyti sem þú fæddist.
I was drunk and foolish enough to answer it.	Ég var nógu drukkinn og vitlaus til að svara henni.
The French and the Cherokee had raided along the Blue Ridge.	Frakkar og indíánar höfðu gert árás í grennd við Blue Ridge.
The English settlers had sought refuge at Fort Charles.	Enskir flóttamenn höfðu leitað hælis í Fort Charles.
By the time we got there, the fort was abandoned.	Þegar við komum á staðinn var enginn í virkinu.
They 'd left about a week before.	Þeir höfðu farið viku fyrr.
But what we found was...	En það sem við sáum var...
Go on.	Haltu áfram.
They 'd killed all the settlers, the men.	Þeir höfðu drepið alla landnemana, karlmennina.
With the women and some of the children, they had...	Konurnar og sum barnanna höfðu þeir...
We buried them all, what was left of them.	Við jarðsettum öll þau sem við fundum.
We caught up with them at Fort Wilderness.	Við náðum þeim í Fort Wilderness.
We took our time.	Við gáfum okkur nægan tíma.
We cut them apart slowly.	Við stíuðum þeim hægt í sundur.
Piece by piece.	Maður eftir mann.
I can see their faces.	Ég man svipinn á þeim.
I can still hear their screams.	Ég heyri enn öskrin í þeim.
All but two.	Allir nema tveir.
We let them live.	Við leyfðum þeim að lifa.
We sent the heads on a pallet with the two that lived back to Fort Ambercon.	Við sendum höfuðin á brettum ásamt þeim tveimur sem lifðu aftur til Fort Ambercon.
The eyes, tongues, fingers we put in baskets.	Augun, tungurnar og fingurnir voru sett í körfur.
Sent them down the Asheulot to the Cherokee.	Við sendum þetta niður ána til Cherokee-indíánanna..
Soon after, the Cherokee broke their treaty with the French.	Skömmu síðar rufu indíánarnir samkomulagið við Frakka.
That's how we justified it.	Þannig réttlættum við þetta.
We were heroes.	Við vorum hetjur.
And men bought you drinks.	Og menn keyptu í glas handa þér.
Not a day goes by where I don't ask God's forgiveness for what I did.	Sá dagur líður ekki að ég biðji ekki guð fyrirgefningar á gerðum mínum.
Thomas was my brother, as well as your son. You may not believe this, but I want satisfaction as much as you do.	Thomas var bróðir minn, rétt eins og hann var sonur þinn. þótt ótrúlegt sé vil ég eins og þú að þeir fái makleg málagjöld.
But not at the expense of our cause.	En það má ekki koma niður á málstað okkar.
There will be a time for revenge.	Það gefst tími til hefnda.
But until then, stay the course.	En haltu þig á réttri braut þangað til.
Your mother said that when I 'd get drunk or lose my temper.	Þetta sagði móðir þín ef ég var drukkinn eða missti stjórn á mér.
She 'd say it to me when I picked on Thomas.	Hún sagði það við mig þegar ég var vondur við Thomas.
I miss him.	Ég sakna hans.
The British got 18 of our men at Fort Carolina.	Bretar náðu 1 8 okkar manna við Fort Carolina.
They'll be hung one at a time until they give up the rest of us.	Þeir verða hengdir einn í einu þar til þeir ná okkur öllum.
Reverend can you write a letter for me?	Prestur minn, geturðu skrifað bréf fyrir mig?
