Publication detail	Nánar um útgáfu
The main users of PPPs are international organisations, such as Eurostat, the International Monetary Fund, the OECD, the United Nations and the World Bank.	Notendur eru milliríkja- og alþjóðastofnanir, t.d. IMF og OECD.
However, the largest users are various departments within the European Union, which beyond comparing GDPs, use the PPP in:	Stærsti notandinn er þó ýmsar deildir innan Evrópusambandsins en hjá þeim eru jafnvirðisgildi m.a. notuð, auk samanburðar þjóðhagstalna:
Allocating structural funds to reduce disparities between and within EU Member states	Við ákvörðun byggðastyrkja.
Monitoring price developments in the Eurozone	Til að fylgjast með verðlagsþróun á evrusvæðinu.
Deciding the cost of living allowance for EU employees	Við ákvörðun á staðaruppbót á laun starfsmanna ESB.
Comparing relative price levels	Við samanburð á hlutfallslegu verðlagi.
Prices of goods and services for private consumption are gathered from stores and service providers.	Verð á vörum í verslunum og hjá þjónustufyrirtækjum vegna kannana fyrir einkaneyslu.
Sub-indices of consumer price are used in updating between years.	Undirvísitölur neysluverðs eru notaðar við framreikning milli ára.
Prices for the investment heading are found through surveys conducted every second year on the prices of buildings and of equipment goods.	Verð fyrir fjárfestingarliðinn fæst með könnunum á verði bygginga, véla og tækja sem framkvæmdar eru annað hvert ár.
There are no specifically Icelandic laws on the calculation or publication of Purchasing Power Parities.	Engin séríslensk lög gilda um útreikning eða birtingu jafnvirðisgilda.
EU regulation is underway and it is thought that regulations on PPPs will become valid in 2007.	Unnið er að lagasetningu hjá ESB og gert ráð fyrir að reglugerð um verkefnið taki gildi árið 2007.
Every year price surveys are carried out and it is expected that every three years they will cover all factors of the GDP.	Á hverju ári eru gerðar verðkannanir og miðað er við að á þriggja ára tímabili nái þær til allra þátta landsframleiðslunnar.
Anually new results from surveys that are available are included in the calculation, while the results of older surveys are updated using indices.	Árlega eru nýjar niðurstöður úr könnunum sem liggja fyrir teknar með í útreikninginn meðan niðurstöður eldri kannana eru framreiknaðar með vísitölum.
The response burden is therefore not heavy in most cases, only extending to giving price information on a few items every three years.	Svarbyrðin er því í flestum tilfellum ekki mikil, aðeins sú að gefa upp verð á nokkrum vörum á þriggja ára fresti.
Surveys are to a large extent carried out through visits by interviewers, reducing the response burden to surveyed companies even further.	Kannanirnar eru að stórum hluta framkvæmdar með heimsóknum sem gerir svarbyrði enn minni fyrir þau fyrirtæki sem leitað er til.
Part of the information is gathered through telephone interviews and/or requests sent via fax or email.	Hluta upplýsinga er aflað með hringingum og/eða fyrirspurnum sem sendar eru í símbréfi eða rafrænt.
The national accounts department of Statistics Iceland handles the national accounts and their itemization.	Þjóðhagsreikningadeild Hagstofu sér fyrir fjárhæðum þjóðhagsreikninga og sundurliðun á þeim.
The heaviest response burden falls on the Ministry of Finance and the Wage department of Statistics Iceland in surveying the wages of employees in the public sector.	Þyngst byrði við innsöfnun er lögð á ríki og launa- og kjaradeild Hagstofu vegna launa opinberra starfsmanna.
Every year data on average annual wages and working hours is collected for the largest groups.	Árlega er safnað meðalárslaunum og vinnutíma fyrir stærstu hópa launafólks í starfi hjá hinu opinbera og er vinnan fólgin í samkeyrslu gagna á tölvutæku formi.
Those are acts no. 1164/94, 1260/99 and 1267/99 (on cohesion and structural funds) and no. 3830/91 on the wages of EU employees.	Þetta eru reglugerðir nr 1164/94, 1260/99 og 1267/99 um byggða- og þróunarsjóði (cohesion and structural funds) og nr. 3830/91 um laun starfsmanna ESB.
The PPP is a method of calculation used instead of the exchange rate to compare the GDP in different countries.	Jafnvirðisgildi (PPP: Purchasing Power Parities) er reiknieining, notuð í stað gengis við samanburð á magni landsframleiðslu milli landa.
They are an average of price relatives between participating countries for a basket of similar goods and services, which is supposed to indicate the countries' GDP.	Þau eru meðaltal af verðhlutföllum á milli landa (sem þátt taka í verkefninu) fyrir vörukörfu af sambærilegum vörum og þjónustu, sem á að gefa mynd af landsframleiðslu landanna.
The basket is divided into categories (see 1.2) and it should include goods which are reflective of the consumption patterns of each nation.	Vörukörfunni er skipt upp í flokka (sjá 1.2) og í henni eiga að vera vörur sem eru lýsandi fyrir neyslumynstur hverrar þjóðar.
Using price relatives, nominal expenditure values are converted to a comparable price level and thus compare the GDP volume between countries.	Með verðhlutföllunum eru verðmætafjárhæðir þjóðhagsstærða færðar til sambærilegs verðlags við samanburð á magni.
The classification frameworks used for comparisons of European Union countries and OECD countries are:	Flokkunarkerfið sem notað er við samanburð á Evrópulöndum og löndum OECD er:
More appropriate for comparison where expenses to health service and education are financed in different ways.	a. útgjöld hins opinbera vegna einstaklinga og fjölskyldna eru dregin frá samneyslu og bætt við einkaneysluna.
COFOG (Classification of the Functions of Government) is used for final government consumption, categorised according to purpose and type.	Notað er COFOG (Classification of the Functions of Government) fyrir samneysluna, en hún er flokkuð eftir tilgangi og gerð.
COPNI (Classification of the Purpose of Non-Profit Institutions Serving Households) is used to categorise the expenses of non-profit institutions.	Þá er COPNI (Classification of the Purpose of Non-Profit Institutions Serving Households) notað til að skipta útgjöldum félagasamtaka.
The calculation of PPPs takes place in three stages.	Útreikningur á jafnvirðisgildum fer fram í þremur áföngum.
Price relatives between all states are calculated for each sub-group of goods and services, e.g. cheese and milk.	Reiknuð eru verðhlutföll milli allra ríkja, fyrir hvern undirflokk vöru og þjónustu t.d. osta og mjólk.
Price relatives are calculated for groups of goods and services, e.g. dairy products, weighed for the expenditure classification of GDP for the relevant group.	Reiknuð eru verðhlutföll fyrir flokka vöru og þjónustu, t.d. mjólkurvörur, vegin eftir útgjaldaskiptingu þjóðarframleiðslu fyrir flokkinn.
Price relatives calculated using the EKS (Eletö-Köves-Schultz) method and a geometric mean is calculated for typical goods in the first country, (Laspeyres) geometric mean is calculated for typical goods in the second country, (Paasche) geometric mean calculated for results in both countries (Fischer).	Meðaltöl verðhlutfalla reiknuð eftir EKS (Eletö-Köves-Schultz) aðferð og fyrst reiknað margfeldismeðaltal fyrir dæmigerðar vörur í fyrra landinu (Laspeyres) Margfeldismeðaltal er reiknað fyrir dæmigerðar vörur í síðara landinu (Paasche) Margfeldismeðaltal reiknað fyrir niðurstöður í báðum löndum (Fischer)
In exceptional instances where a price is not available for all goods in the countries, a special method of calculation is used to estimate the missing values so that price relatives will always be available for comparable goods.	Í einstaka tilvikum er ekki til verð fyrir allar vörur í löndunum og er þá beitt sérstakri reikniaðferð til að áætla þau gildi sem vantar, þannig að alls staðar verði til verðhlutföll fyrir sambærilegar vörur.
In the calculation of aggregate results the EKS-method is also used by Eurostat as well as OECD.	Við útreikning á heildarniðurstöðum er EKS -aðferð einnig notuð, bæði hjá Eurostat og OECD.
The elementary level PPPs are weighed according to the division of the GDP into expenditure categories and added up and again the EKS method is used to calculate average ratios between all countries.	Grunnjafnvirðisgildin eru vigtuð miðað við skiptingu landsframleiðslunnar á útgjaldaflokka og lögð saman og aftur eru með EKS-aðferð reiknuð meðaltöl hlutfalla milli allra landa.
This method ensures that different expenditure patterns do not affect the aggregate results.	Aðferðin leiðir til þess að mismunandi samsetning útgjalda breytir ekki heildarniðurstöðum.
Most appropriate to comparisons of individual expenses and price relatives between countries.	Hentar best við samanburð á einstökum útgjaldaþáttum og verðhlutföllum milli landa.
GK (Geary-Kamis) method (used by the United Nations).	GK (Geary-Kamis) aðferð (notuð hjá Sameinuðu þjóðunum).
Average prices are calculated with iteration for the whole group.	Meðalverðin eru reiknuð með ítrun fyrir allan hópinn í senn.
This leads to the patterns and values of expenses affecting the results in individual countries as well as the aggregate results.	Leiðir til þess að samsetning og hæð útgjalda hefur áhrif á niðurstöður í einstökum löndum og heildarniðurstöðurnar.
Changes to price relatives in one country can affect all other countries and aggregate results, e.g. a change to price relatives of clothes in France can affect price relatives for groceries in Britain.	Breyting á verðhlutföllum í einu landi getur haft áhrif á öll önnur lönd og heildarniðurstöður, t.d. getur breyting á verðhlutföllum í fötum í Frakklandi haft áhrif á verðhlutföll fyrir matvöru í Bretlandi
Not appropriate if a country has an expenditure pattern which deviates from the average, in which case the results can be erroneous; this is called the "Gerschenkron effect".	Hentar ekki ef eitthvert land er með útgjaldasamsetningu sem er frábrugðin meðaltalinu og geta niðurstöðurnar þá verið villandi og er þetta nefnt "Gerschenkron áhrif".
The main benefit of the method is that it is possible to get an aggregate result for all the countries, which allows comparison.	Helsti kostur við aðferðina er að hægt er að leggja niðurstöðurnar saman fyrir öll löndin og eru þær tölur sambærilegar.
