No more murders!	Ekki fleiri morð!
I'm going to see if I can find a land line.	Ég ætla út til að athuga hvort einhver er á götunum.
Maybe I can get one to work.	Löggur kannski.
Okay.	KL.23: 01 4.
We'll find them. We'll find them.	JÚLÍ 2009 Við finnum þá.
Nothing's happened.	Ekkert hefur gerst.
We just... We have some deputies off radio.	Nokkrir fulltrúar með slökkt á talstöð.
If I find these guys are playing a joke on me...	Ef ég kemst að því að þeir séu að stríða mér...
Come on, Lee.	Svona, Lee.
It's the last thing we need right now.	Þetta er það síðasta sem við þurfum nú.
Put your seatbelt on.	Spenntu beltið.
Jesus.	Jesús.
Yeah, I'm worried about my seatbelt.	Þú ert í lögreglubíl.
That's what I'm worried about.	Já, ég hef áhyggjur af öryggisbeltinu.
Right.	Það eru helstu áhyggjur mínar.
Whose car?	Hver er á þessum bíl?
I think that's Jimson's car.	Ég held Jimson.
Can't be sure...	Ég er ekki alveg viss.
Wait, is that him in the car?	Bíddu, er hann í bílnum?
I don't know whose house this is.	Ég veit ekki hver býr hér.
What the hell is he doing, Lee?	Hvað er hann að gera, Lee?
Wait a minute, that's Jim.	Bíddu við, þetta er Jim.
What's wrong...	Hvað er að honum?
He looks like he's...	Það er eins og hann hafi gert eitthvað.
He's got his gun out.	Hann heldur á byssunni sinni.
Go away!	Farðu burt.
What's the matter, Jim?	Hvað er að, Jim?
Come here, buddy!	Komdu, félagi.
Come here.	Komdu hingað.
Something's wrong with this guy.	Það er eitthvað að honum.
Oh, God, he's got...	Guð, hann er með...
Go away!	Farið burt.
Jim!	Jim...
Go away!	Farið burt.
Come on, Jim.	Svona nú, Jim.
Just chill out, buddy. Just go!	Slakaðu bara á, félagi.
Come on.	Farðu bara. Komdu.
Come on and get in the back of the car.	Sestu í aftursætið.
Get in the back of the car, Jim.	Sestu í aftursætið, Jim.
I'll take you to the hospital.	Ég kem þér á sjúkrahúsið.
Please come.	Farðu bara.
We'll take you somewhere.	Við förum eitthvert með þig.
Come on, bud.	Komdu, félagi.
Don't let me lose you, Jim!	Láttu mig ekki missa þig, Jim.
Come on, now!	Komdu nú.
Jim, buddy, let's get in the car, let's go somewhere.	Jim, félagi, komdu inn í bíl. Förum eitthvert.
Come on.	Hvað...
Hey, what's the matter? We shouldn't have to die like this.	Við eigum ekki að þurfa að deyja svona.
No, you're not going to die.	Þú deyrð ekki.
Nobody's going to die.	Enginn deyr.
Get in the car.	Komdu inn í bílinn.
I can't... You don't have to die like this.	Þú verður að deyja.
I can't touch you, but come on and get in the car.	Ég get ekki snert þig en komdu inn í bílinn. Nei.
Now, wait a minute!	Bíddu nú við.
No! Deputy, put that gun down!	Leggðu frá þér vopnið.
Bill, just hang on for a second.	Bill, bíddu aðeins.
I'm gonna go and get Alex, okay?	Ég ætla að sækja Alex.
Alex.	Alex.
I got Bill on the Skype.	Ég náði Bill í Skype.
Bill, can you hear me?	Bill, heyrirðu til mín?
Yeah.	Já.
What's going on?	Hvað er um að vera?
Okay, we came to Claridge to meet up with my parents, and...	Við komum til Claridge til að hitta foreldra mína.
Where are you, in an antique store or something?	Eruð þið í forngripaverslun?
There are dead bodies everywhere, Bill, and...	Það eru lík alls staðar.
Bill, the entire town is covered in dead fucking bodies. Oh, yeah.	Bill, bærinn er þakinn í helvítis líkum.
Look, okay, call the cops, guys.	Hringið í lögguna.
No, we called the cops, and we can't get through to them.	Við gerðum það en náum ekki sambandi.
We can't get through to my parents.	Við náum ekki í foreldra mína.
Our cell phones aren't working, we can't get service.	Gemsarnir verka ekki.
We need for you to do something.	Þú verður að gera eitthvað.
All right, where are you?	Hvar eruð þið?
Claridge?	Claridge.
Maryland, for God's sake!	Það er í Maryland.
Call somebody, anybody, just get us some help here, please!	Hringdu í einhvern og láttu senda hjálp hingað.
Tell me what happened to you.	Segðu mér hvað kom fyrir þig.
We don't know what happened!	Við vitum ekki hvað gerðist.
I mean, what is that on your neck?	Hvað er þetta á hálsinum á þér?
What's on my neck? Oh, my God.	Hvað er á hálsinum á mér?
Alex... What is it?	Guð, Alex...
Holy shit!	Hvað er það?
My name is Dr. Jack Abrams.	Andskotinn. KL. 00.01 5.
I am a physician at the Atlantic Hospital in Maryland.	JÚLÍ 2009 Ég heiti Jack Abrams og er læknir á Atlantic sjúkrahúsinu í Maryland.
I'm making this video in the hope that I will be able to watch it at some point in the future, and I'm going to show the world what happened here.	Ég geri þetta myndband í þeirri von að ég geti horft á það í framtíðinni. Ég ætla að sýna heiminum hvað gerðist hér.
Coming out into the hall now.	Ég er að koma inn á ganginn.
I locked myself in the ICU for...	Ég læsti minn inni á gjörgæslunni.
The CDC stopped taking my phone calls, I contacted FEMA, help hasn't arrived.	Sóttvarnastofnun er hætt að svara símtölum mínum, ég hafði samband við Almannavarnir en hjálp hefur ekki borist.
I think I now know what is killing people.	Einhvers konar veirusýkingu.
We were looking for some kind of virus, some kind of viral outbreak, and when we called CDC, they needed to send a fucking army down here to put some goddamn minds together to find what I know now, which is, this is not a virus, this is an organism.	Þegar við hringdum í Sóttvarnir þurftu þeir að senda her hingað til að hugsa saman það sem ég hef fundið sjálfur.
It is an organism that has somehow infiltrated these people's bodies.	Þetta er ekki veira, heldur lífvera sem hefur komist inn í líkama þessa fólks.
The blistering, that's a symptom, it is not...	Blöðrurnar eru einkenni.
That is what threw us off.	Það ruglaði okkur.
It is the isopod.	Það er járnfætlan.
It's eating their organs.	Hún étur líffæri þeirra.
It's eating them, it's eating them from the inside.	Hún étur þau. Hún étur þau innan frá.
It is eating their intestines, it is eating their liver, it goes for kidneys, lungs, tissue.	Étur þarmana, lifrina, nýrun, lungun og vefi.
This is a rapidly growing, accelerating organism.	Þetta er hraðvaxta lífvera.
How it's growing this fast, I have no idea.	Ég hef ekki hugmynd um hvernig hún vex svo hratt.
I noticed this rash about 45 minutes ago, and I'm going to continue to...	Ég tók eftir þessu fyrir um 45 mínútum.
Take the camera, and I'm going to document everything that I see here.	Ég ætla að halda áfram að taka upp allt sem ég sé hérna.
If you find this tape, just, please, get it out.	Ef þið finnið þetta myndband komið því í dreifingu. Komið því í dreifingu.
Get it out. Alex!	Alex.
Jesus!	Jesús.
Stephanie, would you please talk to me?	Stephanie, talaðu við mig.
Talk to me!	Talaðu við mig.
What's wrong?	Hvað er að?
Alex!	Alex.
I have...	Skríður.
Alex! Will you please explain to me what's going on? Okay...	Viltu útskýra hvað er að gerast?
They're coming.	Þeir eru að koma.
They're coming.	Hjálpin er að koma.
They're gonna...	Nei.
Help is here, okay?	Ég geri það ekki.
No... I'm not... You're okay.	Það er allt í lagi með þig.
I know, you're gonna be - all right. It hurts!	Það er sárt.
I know, darling.	Ég veit það, elskan.
Take it!	Alex. Taktu þetta.
What's wrong with you?	Hvað er að þér?
Come on!	Komdu nú.
Please.	Gerðu það.
End it! Alex died at 1 / 26 a.m.	Alex lést klukkan 1: 36.
The larva he swallowed in the bay had grown into a full-sized parasite in eight hours, from the toxic soup.	Lirfan sem hann gleypti úti á flóanum hafði stækkað upp í stórt sníkjudýr á átta tímum eftir að hafa verið í eiturefnasúpunni.
Hi, this is Steve Slattery over at Homeland Security.	Þetta er Steve Slattery hjá Heimavarnaráðuneytinu.
I just wanted to get back to you on that message about Chesapeake Bay.	Ég er að svara skilaboðum varðandi Chesapeakeflóa.
Yeah?	Já?
Yeah... Turns out we did hear something a few weeks back about a couple divers' bodies being found in the water.	Við heyrðum eitthvað fyrir nokkrum vikum um að lík tveggja kafara hefðu fundist í sjónum.
Natural Resources Police thought it was a bull shark bite, and they were getting ready to pull people out of the water and put up a shark alert, but the medical examiner determined that it was not a shark or bite at all.	Auðlindalögreglan taldi að það væri bitför eftir hákarla og ætluðu að fara að reka fólk úr sjónum og vara við hákörlum. Líkskoðari ákvarðaði að þetta væru ekki hákarlsbit.
What was it?	Hvað var það þá?
They weren't sure, so they sent the reports over to us, and then we sent them over to the Coast Guard, and they said it didn't make any sense to them, so then we sent it to FEMA and they never responded, so I figured we 'd send it to you.	Þeir voru ekki vissir svo þeir sendu skýrslurnar til okkar og við sendum þær strandgæslunni. Þeir sögðust ekkert skilja í þeim svo við sendum þær til Almanna - varna og þeir svöruðu aldrei.
Yeah! That's...	Við ákváðum því að senda þær til ykkar.
Good.	Já, það er gott.
What did the report say?	Hvað stóð í skýrslunni?
Well, kind of strange stuff.	Margt einkennilegt.
It said the cause of death was undetermined, due to a multiplicity of parasites and a variety of infections.	Að ástæða dauðsfallanna væri óskilgreind vegna fjölbreytileika sníkjudýra og margs konar sýkinga.
Do you want a copy of this report?	Viltu fá eintak af skýrslunni?
Yeah, you know, funny enough, I would love to see a copy of that report.	Já, það vill svo skemmtilega til að mig langar að sjá skýrsluna.
Here we are, baby.	Þá erum við komin.
So let me get this straight.	Það er rétt.
Nobody knows what happened, and it takes 16 days to get this information to us?	Enginn veit hvað gerðist og það tók sextán daga að koma því til okkar.
Listen, we set up an incident center without cause, and we're in deep doo-doo here.	Ef við settum upp atburðabúðir án ástæðu værum við í djúpum skít.
Really?	Er það?
Well, I've got a town full of dead bodies.	Ég er með fullan bæ af líkum.
A small town.	Smábæ.
I think we need to keep this whole thing in perspective here.	Við þurfum að hafa yfirsýn yfir þetta.
What kind of perspective are you talking about? Help me! Help me!	Hvers konar yfirsýn áttu við?
No! Get off me!	Hjálpaðu mér.
Listen, it's not that easy to pull the trigger on something like this.	Það er ekki auðvelt að taka í gikkinn þegar svona lagað gerist.
We blow up a non-issue and shut down the entire Chesapeake Bay, I mean, we're talking about beaches, restaurants, vacation fishing. Seat belt.	Við erum að tala um strendur, veitingastaði, frístundaveiðar.
The public panics if word gets out that we're setting up an incident center about a spreading disease, or for a spreading disease.	Almenningur verður hræddur ef spyrst út að við setjum upp búðir vegna smitsjúkdóms.
You don't just shut down the Eastern Seaboard without approval from a higher authority.	Maður lokar ekki allri austurströndinni án þess að fá samþykki frá hærri yfirvöldum.
Great, I understand.	Fínt. Ég skil.
Thank you very much, Officer Slattery.	Þakka þér kærlega, Slattery fulltrúi.
That's it?	Er þetta allt og sumt?
Okay. Thanks.	Þakka þér fyrir.
Then about 5 / 30 they came in the hazmat suits, and the National Guard came, and then they quarantined the town for another three days, and that was when they confiscated every single camera they could find.	Um hálf sex komu þeir í sóttvarnabúningum og þjóðvarðliðið mætti og setti bæinn í sóttkví í þrjá daga. Þá tóku þeir hverja einustu myndavél sem þeir fundu.
You know, there were those who survived, and for some reason they never became sick.	Nokkrir lifðu af. Af einhverri ástæðu veiktust þeir aldrei.
The town as a whole reached a financial agreement with the government.	Bærinn náði fjármunalegu samkomulagi við yfirvöld.
I don't know how much money changed hands, but I do know that silence was part of the agreement.	Ég veit ekki hversu mikið fé fór á milli. Ég veit hins vegar að þögn var hluti samkomulagsins.
I tried to reach out to people like Stephanie, but she didn't want to participate in this film.	Ég reyndi að fá fólk eins og Stephanie en hún vildi ekki taka þátt í myndinni.
Oh, and by the way, the official line from the government was that the outbreak was due to unseasonably high water temperatures.	CHESAPEAKEFLÓI ER ENN LÍFLAUS AĐ 40 PRÓSENTUM Opinbera skýringin var svo að sýkingin hefði stafað af óvenjuháum sjávarhita.
This is Donna Thompson, signing off.	Þetta er Donna Thompson sem kveður.
2012 English 84 USA Horror,Sci-Fi,Thriller 41 1 1 windows-1252 13492 1593 3 2013-03-09 English 1/1 1253 1.0 01:19:06,120	FLÓINN - 1299 Icelandic 1.0 1/1 2013-03-30 01:15:34,910 USA 84 Horror,Sci-Fi,Thriller 2012 English 1 1389 0 9632 236 iso-8859-4 0
