Step aside.	Farið frá.
It doesn't matter, but I do.	Það skiptir ekki máli, en ég geri það.
No, you don't.	Nei, þú gerir það ekki.
I do.	Jú.
I love him, too.	Mér þykir líka vænt um hann.
Happy Christmas, Stella.	Gleðileg jól, Stella.
You touch her again, I'll fucking kill you!	Ef þú snertir hana aftur, þá drep ég þig!
Please stay, Nick.	Vertu kyrr hér, Nick.
I'm gonna clear out my stuff before he gets back.	Ég ætla að fara með dótið mitt áður en hann kemur.
There's no point in arguing.	Það er ástæðulaust að rífast.
It's not my place, but... Maybe you should come with me.	Kannski ættir þú að koma með mér.
He's turning.	Hann er að snúast.
I've seen it before.	Ég hef séð þetta áður.
With his wife?	Með eiginkonunni?
I saw the body.	Ég sá líkið.
Please don't stay here.	Ekki vera hér.
He needs help.	Hann þarf hjálp.
Can you find a doctor?	Geturðu fundið lækni?
I'll see what I can do.	Ég skal athuga hvað ég get.
I saw you together.	Ég sá ykkur saman.
You're fucking him. No.	Þú ert með honum.
Eat.	Borðaðu.
When my wife took her lovers, she tried to poison me.	Þegar konan mín fékk sér elskhuga reyndi hún að eitra fyrir mér.
Mrs. Raphael.	Frú Raphael?
Let's go. You'll be released in the morning.	Þú verður látin laus í fyrramálið.
Could I see Charlie?	Get ég fengið að sjá Charlie?
You're aware I could prevent you from having any further contact with him.	Þú veist að ég get komið í veg fyrir að þú hafir meira samband við hann.
But he needs you.	En hann þarfnast þín.
You'll see him tomorrow.	Þú sérð hann á morgun.
Thank you.	Þakka þér fyrir.
Mr. Raphael, do you have any comments?	Raphael, viltu segja eitthvað?
There's a blanket in the back if you want to sleep.	Það er teppi aftur í ef þú vilt sofa.
It's a long journey.	Þetta er löng ferð.
Where are we going?	Hvert erum við að fara?
Wales.	Til Wales.
What?	Ha?
North Wales.	Til Norður Wales.
You asleep?	Ertu sofandi?
Are you better now?	Líður þér betur núna?
I'll never go away again.	Ég skal aldrei aftur fara í burtu.
I promise.	Ég lofa því.
I'm very, very sorry.	Viltu fyrirgefa mér?
Thank you for letting me see him.	Þakka þér fyrir að leyfa mér að sjá hann.
You all right? We can't live like this.	Við getum ekki búið svona.
Please come back to us. Please.	Viltu gera það fyrir mig að koma aftur til okkar?
Excuse me. Hello?	Viltu gera það?
Speak up, will you?	Viltu tala hærra.
This line's atrocious.	Þessi lína er hræðileg.
Well, I have no idea.	Ég hef enga hugmynd.
Ask a policeman.	Spurðu lögregluna.
Claudia, who is it?	Hver er þetta?
An old colleague of Dr. Raphael's.	Gamall vinur Raphaels.
He's a mumbler.	Hann muldrar.
Please.	Má ég?
Who is this?	Hver er þetta?
Hello?	Halló?
Bye, Charlie.	Bless, Charlie.
Bye, Mr. Griffin.	Vertu sæll, herra Griffin.
See you tomorrow.	Sjáumst á morgun.
There's a school field trip next week.	Það er skólaferðalag í næstu viku.
Are parents allowed to come?	Mega foreldrarnir koma?
If you need me, I'll be upstairs.	Ef þú þarfnast mín, þá verð ég uppi.
I've just got to finish something.	Ég þarf að ljúka við svolítið.
Here. Parents are allowed on the field trip.	Foreldrar mega koma með í skólaferðalagið.
I told a lie.	Ég skrökvaði.
Well, everyone lies occasionally.	Allir skrökva stundum.
Good for telling me.	Gott að þú sagðir mér það.
Would you like some company?	Viltu félagsskap?
Well, I don't think I'm busy next week.	Ég held ég hafi lítið að gera í næstu viku.
I know you long for him.	Ég veit að þú saknar hans.
But you won't see him again.	En þú sérð hann ekki aftur.
You know that, don't you?	Þú veist það, ekki rétt?
Yes.	Jú.
We'll be a family again, like before.	Við verðum aftur fjölskylda eins og áður.
In time, this will be what you want.	Með tímanum verður þetta eins og þú vilt.
Hurry, darling, we mustn't keep Daddy waiting.	Við megum ekki láta pabba bíða, elskan.
Where's Mommy?	Hvar er mamma?
Phone rang.	Síminn hringdi.
Sorry.	Fyrirgefðu.
Who was it? Mr. Griffin.	Hver var þetta?
Inspector.	Herra Griffin.
Good morning, Dr. Raphael.	Fyrirmæli varðandi skólaferðalagið.
It's good of you to help out.	Lögreglufulltrúi? Góðan daginn, dr. Raphael.
You came.	Þú komst.
Let's go.	Við skulum fara.
I can't leave Charlie again.	Ég get ekki farið aftur frá Charlie.
I promised him.	Ég lofaði honum því.
I'll never stop loving you.	Ég hætti aldrei að elska þig.
Where is he?	Hvar er hann?
We'll go and get him.	Í skólanum. Við sækjum hann.
Take him with us.	Við tökum hann með okkur.
No!	Nei!
He's gone.	Hann er farinn.
Now let him go!	Slepptu honum nú!
I'm going to catch a fish.	Ég ætla að veiða fisk.
Won't you need a rod?	Vantar þig ekki stöng?
I'm hoping a small one will swim into my jar.	Ég vona að einn lítill syndi inn í krukkuna mína.
Do you know fish can only remember things for eight seconds?	Veistu að fiskar geta aðeins munað hluti í átta sekúndur?
Mrs. Raphael!	Frú Raphael!
Do something!	Gerðu eitthvað!
Excuse me. Jack. you must come and visit me soon.	Jack, þú verður að heimsækja mig fljótlega.
Maybe next summer.	Kannski næsta sumar.
It's so kind of you to deal with all this.	Það er fallega gert að þér að sjá um þetta.
Goodbye, my dear.	Vertu sæl, mín kæra.
Well, shall I keep you informed?	Á ég að láta þig fylgjast með?
I don't want to know.	Ég vil ekkert vita?
In time, you'll come to terms with what you've done... and you'll just be very, very sad.	Með tímanum sættir þú þig við það sem þú hefur gert, en þú verður mjög sorgmædd.
And that sadness will stay with you... for the rest of your life. Good evening. Good evening.	Og þessi sorg mun fylgja þér alla ævi.
Come now.	Komdu.
Good girl.	Góð stúlka.
Where's Charlie?	Hvar er Charlie?
Where's my picture of Charlie?	Hvar er myndin mín af Charlie?
With your belongings.	Með dótinu þínu.
You mean, I can't see him?	Má ég ekki sjá hann?
Not yet.	Ekki enn.
Because I killed him, didn't I?	Af því ég drap hann, gerði ég það ekki?
Is Edgar here?	Er Edgar hér?
Of course not.	Auðvitað ekki.
Where is he?	Hvar er hann?
The past, Stella.	Í fortíðinni, Stella.
He's in the past.	Hann er í fortíðinni.
Good afternoon.	Góðan daginn.
If you won't speak, I can't treat you.	Ef þú vilt ekki tala, get ég ekki meðhöndlað þig.
Do you want to stay in solitary forever?	Viltu vera í einangrun að eilífu?
Talk.	Talaðu.
Say something!	Segðu eitthvað!
Express your contempt.	Láttu fyrirlitningu þína í ljós.
She's here.	Hún er hér.
She's been here six weeks.	Hún hefur verið hér í sex vikur.
She's my patient.	Hún er minn sjúklingur.
Why?	Af hverju?
Something terrible.	Eitthvað hræðilegt.
The boy drowned.	Drengurinn drukknaði.
Yes, you were fond of him.	Já, þér þótti vænt um hann.
Would you like to see her? Speak.	Langar þig til að sjá hana?
Thank you.	Talaðu.
Did you do as I asked?	Gerðir þú eins og ég bað?
To think rigorously about what it means to love?	Að hugsa vel um hvað það þý ðir að elska?
I'm beginning to understand that it was never real.	Ég er farin að skilja að þetta var aldrei raunverulegt.
That it was all an obsession.	Að þetta var allt þráhyggja.
Can you define your feelings for him?	Geturðu útskýrt þínar tilfinningar til hans?
I have none.	Ég hef engar.
It's over.	Þessu er lokið.
It ended when Charlie died.	Því lauk þegar Charlie dó.
If I told you he was here, in the hospital?	Ef ég segði þér að hann væri hér á sjúkrahúsinu?
Well, I suppose it would be logical if he were.	Það væri víst rökrétt ef svo væri.
The question was hypothetical.	Spurningin var reist á tilgátu.
You've been very brave these past weeks.	Þú hefur verið afar hugrökk undanfarnar vikur.
Thank you, Peter.	Takk, Peter.
I see you've got a flat tire.	Ég sé að það er sprungið á bílnum þínum.
I don't need a car.	Ég þarf ekki bíl.
I've resigned.	Ekki í vinnuna?
What do you want from me?	Góð hugmynd. Hvað viltu mér?
Come.	Kom inn.
Welcome.	Velkomin.
Thank you, nurse.	Takk fyrir, hjúkrunarkona.
Would you like a drink?	Má bjóða þér drykk?
I usually have one about now.	Ég á venjulega eitthvað.
I 'd love one. Yes.	Já, þakka þér fyrir.
The usual?	Þetta venjulega?
Your old usual, should I say?	Þinn gamla venjulega, ætti ég að segja.
Your health.	Skál fyrir heilsu þinni.
Yesterday, I went to see Max.	Ég heimsótti Mark í gær.
I made a suggestion with which he concurred.	Ég bar fram tillögu sem hann samþykkti.
My contacts at the Home Office might well release you from here... were I to guarantee your continued treatment and safety.	Sambönd mín geta kannski komið því til leiðar að þú losnir héðan ef ég ábyrgist áframhaldandi meðferð og öryggi þitt.
What I mean to say is that... were you to live with me, in my house... these conditions would most likely be satisfied.	Það sem ég á við er að ef þú byggir heima hjá mér væri þessum skilyrðum fullnægt.
Well, I assure you this is not my usual procedure with patients.	Þú tekur mikla áhættu. Ég fullvissa þig um að þetta er ekki mín venjulega aðferð við sjúkling.
It's something that rather crept up on me.	Bara eitthvað sem læddist að mér.
It would be arrogant to suggest that you might love me.	En ég held að þú þurfir á mér að halda.
But I believe you need me at present... and perhaps, in time, this need might grow into love of some variety.	Og kannski með tímanum, verður þessi þörf að einhvers konar ást.
Are you a passionate man, Peter?	Ert þú ástríðufullur maður, Peter?
I think that's something we 'd have to discover.	Ég held að það sé nokkuð sem við verðum að komast að.
What would she want with an old queen like you?	Hvað vill hún með gamla drottningu eins og þig?
We have dialogue.	Við erum farnir að tala saman.
I'm disappointed.	Ég varð fyrir vonbrigðum.
I thought you wanted me.	Ég hélt að þú þráðir mig.
You resent it, don't you? That she might find happiness with someone else?	Þér gremst að hún finni kannski hamingjuna með öðrum.
I wondered if you might like this.	Mér datt í hug að þú kynnir að meta þetta.
Oh, Peter.	Þakka þér fyrir, Peter.
Thank you.	Hann er dásamlegur.
It's beautiful. It was my mother's.	Móðir mín átti hann.
Shall we?	Eigum við?
Here. The ladies were discussing the hospital ball.	Dömurnar voru að ræða sjúkrahúsballið.
Would you like to attend?	Langar þig til að fara?
I'm not sure.	Ég er ekki viss.
Well, it might be difficult for you.	Það gæti orðið erfitt fyrir þig.
Memories and so on. You'll be there? Well, of course.	Minningar og svoleiðis.
Yes, that's true.	Þú verður þar. Já, það er rétt.
Will Edgar be there?	Verður Edgar þar?
If we're to be married, Peter, let's not have lies.	Ef við ætlum að gifta okkur, Peter, skulum við ekki ljúga.
You knew he was here?	Vissir þú að hann væri hér?
I heard talk, and I know you.	Ég heyrði talað og ég þekki þig.
You wouldn't give up on a patient.	Þú gefur ekki sjúkling upp á bátinn.
I thought it might be traumatic for you.	Ég hélt að þetta yrði of erfitt fyrir þig.
I would have told you in time.	Ég hefði sagt þér frá því seinna.
Forgive me.	Fyrirgefðu mér.
Of course.	Auðvitað.
And to answer your question... he'll be at the dance.	Og sem svar við spurningu þinni.
Unless you wish otherwise.	Hann verður á ballinu, nema þú óskir annars.
Whatever you think is best.	Gerðu það sem þú telur best.
It might be useful for his recovery to see you've moved on, as it were.	Það gæti verið gott fyrir heilsu hans að sjá hvað þér hefur farið fram.
You'll fail her.	Þú bregst henni.
He did.	Hann gerði það.
I did.	Ég gerði það.
So will you.	Og svo munt þú gera.
Perspective.	Þú hefur yfirsýn.
We can work with that.	Það ætti að hjálpa okkur.
Cleave... will you let me see her?	Viltu leyfa mér að sjá hana?
Please.	Gerðu það fyrir mig.
The hospital ball might be an opportunity.	Sjúkrahúsdansleikurinn gæti verið tækifærið.
Cooperate in your treatment... and we'll see.	Vertu samvinnuþý ður í meðferðinni og við sjáum til.
You look magnificent.	Þú ert stórglæsileg.
You look very dashing yourself.	Þú er líka mjög flottur.
I remember that dress.	Ég man eftir þessum kjól.
I'm amazed it still fits.	Ég er hissa á að hann skuli enn passa.
Will you dance with me later?	Viltu dansa við mig seinna?
That would be lovely.	Það væri gaman.
Stella, shall we?	Stella, eigum við?
By the way, I went to fetch Edgar, and he was asleep.	Ég fór að sækja Edgar, en hann var sofandi.
I woke him and he said that he 'd changed his mind... and didn't want to come.	Ég vakti hann, en hann sagðist hafa skipt um skoðun og vildi ekki koma.
Leave me alone.	Láttu mig í friði.
Ripped by: SkyFury 99 2005 Drama,Romance,Thriller English UK, Ireland 5519 3 0 809 0 2 windows-1252 01:31:10,600 1.0 2005-03-01 1/1 English 665	Rippað af.......... Žice! 581 Icelandic 1.0 1/1 2013-01-04 01:31:08,695 UK, Ireland 99 Drama,Romance,Thriller 2005 English 0 716 0 4651 0 iso-8859-4 0
This isn't a popularity contest.	Þetta er ekki vinsældakeppni.
I don't care if it's the Friday before Christmas.	Mér er sama þótt það sé föstudagur fyrirjól.
She'll have Monday off.	Hún fær frí á mánudaginn.
Look, the bottom line is there's no way I'm letting that report go without having seen it.	Ég læt ekki skýrsluna fara án þess að hafa séð hana.
All right, get Rebecca to reach Ken.	Fáðu Rebekku til að ná í Ken.
He should be on the ground by now.	Hann ætti að vera lentur.
You tell him, forward his file...	Segðu honum að framsenda skrána...
She's gonna have to change her reservation.	Hún verður að breyta bókuninni.
Hold on, I've got another call.	Það er annað símtal að koma.
Don't leave.	Bíddu.
This is Meredith.	Þetta er Meredith.
Terrific.	Flott.
All right, I'm gonna call you back.	Ég hringi aftur í þig.
No, no, no.	Bíddu.
I said I 'd call you back.	Þakka þér fyrir.
Thank you. Combine the files, I'll look over...	Settu skrárnar saman, ég skal skoða...
Everett, Everett.	Everett.
