No, a different one.	Ég á við aðra.
I wasn't expecting no company.	Ég átti ekki von á neinum.
Come to see Boyd.	Ég kom til að hitta Boyd.
I had a sense you was around.	Ég fann á mér að þú værir hér.
I've come about Pa.	Ég kom út af pabba.
He's coming back here.	Hann er að koma aftur.
What?	Ha?
He's had a stroke of paralysis.	Hann fékk heilablóðfall.
He ain't got nowhere else to go.	Hefur ekki í önnur hús að venda.
That must be a hell of a stroke for him to come back here.	Það hlýtur að hafa verið slæmt fyrst hann kemur aftur.
I was glad I read that letter while Ma was asleep.	Ég var feginn að ég las bréfið meðan mamma svaf.
Brady, don't you think that after 40 years she might have noticed he's gone?	Brady, eftir 40 ár er líklegt að hún hafi tekið eftir að hann væri farinn.
Says he's got to walk with a stick.	Hann þarf að ganga með staf.
He thinks he's going to die but he's not.	Hann heldur að hann deyi, en það gerir hann ekki.
I read it out in the cards.	Ég las það í spilunum.
Jesus Christ!	Jesús Kristur!
The old man may die at some point, but he ain't gonna die from the stroke.	Hann deyr kannski einhvern tímann en ekki af heilablóðfalli.
You seem to like the idea of him suffering, Brady.	Þér virðist líka það að hann kveljist, Brady.
You seem to be suffering just a little bit yourself.	Þú virðist kveljast svolítið sjálfur.
Bible says you reap what you sow.	Þú uppskerð því sem þú sáir, segir Biblían.
The Bible also says that fortune tellers and soothsayers are an abomination before God.	Biblían segir líka að Guð hafi viðbjóð á spámönnum.
But you probably just forgot that verse, didn't you, Brady?	Gleymdirðu því versi, Brady?
He sent me money to buy him a trailer.	Hann sendi peninga fyrir hjólhýsi.
Probably expected an open invitation just to move right back in the house with me and Mama.	Bjóst sennilega við að verða boðið að búa aftur hjá okkur mömmu.
If I remember right, Brady, his name is still on the goddamn deed, ain't it?	Muni ég rétt, Brady, er nafnið hans enn á afsalinu, ekki satt?
There's one more thing.	Það var eitt enn.
Warren called about that boy's mama.	Warren hringdi út af mömmu stráksins.
He called you?	Hringdi hann í þig?
You ain't got no phone.	Þú ert ekki með síma.
Said he seen her in Nashville.	Sagðist hafa séð hana í Nashville.
Bullshit!	Kjaftæði!
She's never been to Nashville.	Hún hefur aldrei komið þangað.
She wouldn't even know how to find Warren's fucking place.	Hún gæti ekki einu sinni fundið staðinn hans Warrens.
She didn't go to Warren's place.	Hún fór ekki þangað.
He just spied her out on the sidewalk.	Hann sá hana á gangstétt.
Just walking.	Bara gangandi.
Oh, it was her all right.	Það var víst hún.
Her and her new fella.	Hún og sá nýi.
Could you get me another shot?	Get ég fengið annan?
Hi.	Sæll.
Are you Warren?	Ert þú Warren?
Yes, I am.	Já.
Warren Bloodworth?	Warren Bloodworth?
Have a seat.	Fáðu þér sæti.
Yes, sir.	Já, herra.
Would you like a drink?	Viltu drykk?
I think I will.	Ég held það bara.
Warren, I'm Hazel and I'm a singer.	Warren, ég heiti Hazel og er söngkona.
I wanna be a singer.	Ég vil verða söngkona.
I am going to be a singer.	Ég ætla að verða söngkona.
But I need a job and I hear you could give me a job.	En mig vantar vinnu og mér skilst að þú getir boðið mér vinnu.
I can give you a job.	Þú getur fengið vinnu.
Oh, yeah?	Er það?
Let me see.	Leyf mér að sjá.
I'll take it.	Ég tek henni.
You're bad.	Þú ert slæmur.
Beg...	Biddu...
Come on, just like that.	Svona, einmitt svona.
Give me some of it.	Gefðu mér smá.
Oh, that's good.	Ó, þetta er gott.
Do you like that? Do you like that?	Finnst þér þetta gott?
Do you want more?	Viltu meira?
Do you want...	Viltu...
Well, that is perfect.	Þetta er fullkomið.
That pizza is so good.	Þessi pítsa er svo góð.
Yeah...	Já...
Hey, Warren.	Sæll Warren.
It's Colt.	Þetta er Colt.
Hey, hey.	Sæll.
Get your butt on down here.	Komdu hingað.
This fella won't leave.	Það er náungi sem vill ekki fara.
What?	Ha?
Says he's your brother.	Segist vera bróðir þinn.
I'll just be a minute...	Ég verð enga stund...
You better get down here.	Eins gott að þú komir.
Shit.	Andskotinn.
Hey?	Hvað?
Get out of here.	Komdu þér út.
I have perfectly...	Minn peningur er...
Hey!	Heyrðu!
No, no, no.	Nei, nei, nei.
I told him not to bother you, but he's an asshole, so he bothered you.	Ég sagði honum að angra þig ekki en hann er asni, svo hann angraði þig.
Daddy's coming home.	Pabbi er að koma heim.
I heard that.	Ég heyrði það.
I heard some other shit, too.	Og heyrði líka annað.
She ain't here.	Hún er ekki hér.
You're saying my wife's not here?	Er konan mín ekki hér?
I saw her walking.	Ég sá hana gangandi.
She with a guy?	Var hún með manni?
You know what it is?	Veistu hvað þetta er? 50 kalíbera tvíhleypa.
Twin,.50 calibre.	50 kalíbera tvíhleypa.
My fort.	Virkið mitt.
To defend myself from your asshole bartender, principally, that's why.	Til að verja mig fyrir asnabarþjóninum þínum, það er aðalástæðan.
Hey.	Bæ.
Come on.	Komdu.
Fort.	Virkið.
Come on!	Svona!
Fort.	Virkið.
Sorry to hear about your dog.	Leitt með hundinn þinn.
I know how much you thought of Brownie.	Ég veit hvað þér þótti vænt um hann.
I doubt that.	Það efa ég.
They're just dogs to you.	Þetta eru bara hundar fyrir þér.
When I seen Brownie's guts twisted like that, I felt something twist inside me.	Þegar ég sá innyflin út um allt, fóru innyflin mín á hvolf.
Where's Boyd?	Hvar er Boyd?
Figure him to be hungry, too, what with all that rambling.	Hann er örugglega svangur líka á þessum flækingi.
Brady told he was back.	Brady sagði að hann væri kominn.
He's gone.	Hann er farinn.
What?	Hvað?
Again?	Aftur?
Whereabouts this time?	Hvert núna?
Nashville, I reckon.	Nashville, býst ég við.
Brady told about Warren calling.	Brady sagði að Warren hefði hringt.
Warren called?	Hringdi Warren?
News to me.	Ég vissi það ekki.
You hear that?	Heyrðirðu það?
I swear.	Ég sver það.
The men in this family...	Karlmennirnir í þessari fjölskyldu.
Harwood did it.	Harwood gerði það.
Reckon he thought he's gonna teach me a lesson.	Hann hefur ætlað að kenna mér lexíu.
Well, we'll see about that.	Við sjáum til með það.
Did you see him do it?	Sástu hann gera það?
Don't need to see everything to know it to be true.	Það þarf ekki allt að sjást svo það sé rétt.
It's got his essence on it.	Eðli hans er á honum.
And I am using this essence to put a mighty hurt on Old Harwood.	Og ég nota þetta eðli til að meiða Harwood gamla.
His insides will petrify and his stool will turn to concrete.	Innyfli hans verða að steini og saurinn að steypu.
You watch.	Vittu bara til.
Remind me never to leave anything of mine lying around for you to find.	Minntu mig á að skilja ekkert eftir fyrir þig að finna.
Look, I didn't come here for no witchcraft lesson.	Ég kom ekki til að fá kennslu í göldrum.
I just...	Ég...
I wanna know if I could borrow them tools again.	Get ég fengið verkfærin lánuð aftur?
I have told you, if you don't get a new carburettor, the motor won't even fire.	Ef þú færð ekki nýjan blöndung þá startar mótorinn ekki.
I got one.	Ég fékk einn.
Daddy brought it in.	Pabbi kom með hann.
Bring them wrenches back where you got them.	Skilaðu skrúflyklunum aftur.
And don't get them rusted.	Og ekki láta þá ryðga.
Hey, hey, Harwood!	Heyrðu, Harwood!
Harwood!	Harwood!
I need a stamp.	Ég þarf frímerki.
Oversized.	Fyrir stórt bréf.
In the glove box.	Í hanskahólfinu.
There must be something going around.	Það hlýtur að vera eitthvað að ganga.
Yeah.	Já.
Hey, that son of a bitch here?	Er helvítið hérna?
Dad ain't here.	Pabbi er ekki hér.
Not your son of a bitch dad.	Ekki helvítið hann pabbi þinn.
My dad!	Pabbi minn!
No.	Nei.
Son of a bitch!	Djöfullinn!
Drove all this way.	Og ég ók alla þessa leið.
Hazel!	Hazel!
Your daddy here?	Er pabbi þinn hérna?
Boyd?	Boyd?
Boyd here?	Er Boyd hér?
He's gone up to Nashville, I reckon.	Farinn til Nashville, held ég.
Brady told about you calling about Mama.	Brady sagði að þú hefðir hringt út af mömmu.
You seen him?	Hefurðu séð hann?
No, I ain't.	Nei.
Hey! You wanna go for a ride?	Viltu koma í bíltúr?
Come on.	Komdu.
I got enough beer.	Ég á nógan bjór.
Who's that?	Hver er þetta?
She's my accountant.	Hún er bókhaldarinn minn.
Your accountant?	Bókhaldarinn þinn?
Yeah, on the account that she can suck a... through a...	Já, það má bóka að hún getur haldið... Og tottað...
She knocked out or passed out?	Er hún sofandi eða meðvitundarlaus?
A little of both.	Sitt lítið af hvoru.
No, I don't got a driver's licence.	Nei, ég er ekki með ökuleyfi.
That's all right.	Allt í lagi.
I'll pay for your fine, if you get caught.	Ég borga sektina ef þú næst.
You're not drunk, are you?	Ertu nokkuð fullur?
No.	Nei.
All right.	Allt í lagi.
Good.	Fínt.
You provide the sobriety and I'll provide the cash and the car.	Redda þú bindindinu, ég redda peningunum og bílnum.
Hold on to that.	Passaðu þetta.
Put it in your pocket.	Settu þetta í vasann.
The last four days, I've bought and paid for enough friends to hold a Baptist foot washing.	Síðustu fjóra daga hef ég keypt og borgað fyrir næga vini til að halda fótabað fyrir baptista.
Who the fuck are you?	Hver í fjandanum ert þú?
Thief!	Þjófur!
Get out!	Heyrðu!
Whoa...	Hey...
Get out...	Út...
But he's trying to steal your car.	Hann reynir að stela bílnum þínum.
Hazel.	Hazel.
That's my young nephew, Fleming.	Þetta er bróðursonur minn, Fleming.
Hazel, Fleming.	Hazel, Fleming.
Fleming, Hazel.	Fleming, Hazel.
Here, have one of those.	Hérna.
I don't have anything to wash it down with.	Ég hef ekkert til að skola henni niður.
There you go.	Hérna.
She always like that?	Er hún alltaf svona?
No, just when she's awake.	Bara þegar hún er vakandi.
Don't worry about Boyd.	Engar áhyggjur af Boyd.
He'll turn up one day, when he's old, and broke and ready to die.	Hann kemur einn daginn gamall, blankur og tilbúinn að deyja.
I 'd piss on him.	Gefðu skít í hann.
Take my advice. Move on, like I did.	Ég myndi halda lífinu áfram eins og ég gerði.
Where we at?	Hvar erum við?
Warren Bloodworth!	Warren Bloodworth!
Oh, my God!	Almáttugur!
This night's just gotten a whole lot better.	Kvöldið batnaði um allan helming.
Wow!	Vá!
You could have called.	Þú áttir að hringja.
Who's this fine looking young thing?	Hvaða glæsilega ungmenni er þetta?
This here is my nephew Fleming.	Þetta er bróðursonur minn, Fleming.
Hi.	Sæll.
Hey, is your daughter around?	Er dóttir þín á svæðinu?
Yeah.	Já.
She's floating around here somewhere.	Hún er hér einhvers staðar.
I'm gonna get you some wine.	Ég ætla að ná þér í vín.
Glasses are over here.	Glösin eru hér.
Let's see a hundred.	Komdu með hundrað.
A hundred.	Hundrað.
Give me a hundred.	Fáðu mér hundrað.
This is good wine.	Þetta er gott vín.
I just love a man who knows what he wants.	Ég elska karlmann sem veit hvað hann vill.
Lord, have mercy on our souls!	Guð varðveiti okkur!
You sort of favour Warren.	Þú ert svolítið líkur Warren.
Are you all kin?	Eruð þið skyldir?
He's my daddy's brother.	Hann er föðurbróður minn.
Why aren't you drunk?	Hví ertu ekki fullur?
I can't imagine Warren Bloodworth with a sober relative.	Ég trúi ekki að Warren Bloodworth eigi edrú skyldmenni.
I don't really drink that much.	Ég drekk ekki svo mikið.
I don't care for that feeling, you know.	Mér líkar ekki tilfinningin.
It makes you miss things.	Maður missir af einu og öðru.
You mean it dulls your senses?	Þú meinar að það slævi mann?
It dulls your senses.	Það slævir mann.
Drinking does.	Drykkja.
Why didn't you just say that then?	Hví sagðirðu það þá ekki?
I don't know.	Ég veit það ekki.
I think you've addled me, sort of.	Ég held þú hafir ruglað mig.
You mean I've vamped you.	Var ég að daðra við þig?
Like one of them old silent movie stars with those long black eyelashes?	Eins og ein þessara gömlu kvikmyndastjarna með löngu, svörtu augnhárin?
What do you think I am?	Hvað heldurðu að ég sé?
One of them high priced call girls?	Háklassa vændiskona?
No!	Nei!
Lord, no.	Almáttugur, nei.
You think I'm a cheap call girl?	Heldurðu að ég sé lágklassa?
No, I don't think anything at all.	Nei, ég held ekki neitt.
I was just...	Ég bara...
I was...	Ég var...
Warren!	Warren!
Let's go for a walk.	Förum í göngutúr.
Come on.	Komdu.
What's your name?	Hvað heitirðu?
Yours?	En þú?
Raven Lee Halfacre.	Raven Lee Halfacre.
You know, I said that you favoured Warren, but now I ain't so sure.	Ég sagði að þú líktist Warren, en nú er ég ekki viss.
You know how he's got that smart ass look about him.	Þú veist að hann lítur út eins og monthani.
Yes, I do.	Já.
You ain't the talker he is either.	Þú ert ekki málgefinn eins og hann.
He 'd have a girl's blouse talked off by now.	Hann væri búinn að tala stúlku úr blússunni.
Thanks.	Takk.
I don't mind buying it for you, but why do you read stuff like that?	Mér finnst í lagi að kaupa þetta fyrir þig en hví lestu svona efni?
You don't like to read?	Finnst þér ekki gaman að lesa?
