Good girl.	Svona, já.
It's all right, darling.	Þetta er allt í lagi, elskan.
I'm an entrepreneur myself.	Ég er sjálf frumkvöðull.
I'll forego my cut in exchange for some alterations.	Ég fórna mínum hlut fyrir nokkrar breytingar.
Hmm? Hey. What did you find?	Hvað fannstu?
Okay, so, Theresa was using the old bicameral control system to reprogram the woodcutter, but she's not the only one.	Theresa notaði gamla tvískipta stýrikerfið til að endurforrita skógarhöggsmanninn. En hún er ekki sú eina.
Someone else has been using the system for weeks to retask hosts.	Einhver annar hefur notað kerfið vikum saman til að setja veitendur í ný verkefni.
Which hosts?	Hvaða veitendur?
I don't know, several of them.	Ég veit það ekki. Nokkra þeirra.
It had to have been the older models.	Það verða að vera eldri gerðirnar.
The newer ones don't have receivers, but these modifications, they are serious.	Þeir nýju eru ekki með réttu móttökunemana en þessar breytingar eru alvarlegar.
Changing loops, breaking loops.	Breyta hringrásum og rjúfa þær.
Some of these changes are to their prime directives, Bernard.	Sumar af þessu breytingum eru á frumstýringum þeirra, Bernard.
They could lie to us.	Þeir gætu logið að okkur og jafnvel skaðað okkur eða gestina.
Maybe even hurt us or the guests.	Hver heimilaði breytingarnar?
Who issued the modifications?	Ég veit það ekki.
He's dead.	Hann er dáinn.
Yeah, well, he's a pretty fucking prolific coder for a dead guy.	Þá er hann fjandi hæfur forritari af dauðum manni að vera.
Whatever argument he was having with Ford, it doesn't seem like he was done making his point.	Hvað sem rifrildi hans og Fords snerist um hafði hann greinilega ekki sagt sitt síðasta.
I'm gonna transfer all the data and bring it to you.	Ég ætla að afrita öll gögnin og koma þeim til þín.
You need to see this.	Þú verður að sjá þetta.
I'll be in my office. Okay.	Ég verð á skrifstofunni.
I don't want you to worry about Jock.	Hafðu ekki áhyggjur af Jock.
I'll fix him.	Ég laga hann.
But I need you to tell me what happened to it.	En þú verður að segja mér hvað kom fyrir hann.
It saw a rabbit and it ran.	Hann sá kanínu og hljóp.
I found it like that.	Ég kom að honum svona.
Analysis.	Greining.
Are you lying to me, boy?	Lýgurðu að mér, drengur?
Yes.	Já.
Tell me what really happened to it.	Segðu mér hvað gerðist í alvöru. Ég drap hann.
I killed it.	Hvers vegna? Ég veit það ekki.
Why? I don't know. That's not good enough, Robert.	Þetta nægir ekki, Robert.
Tell me what happened.	Segðu mér hvað gerðist.
It caught the rabbit and it killed it.	Hann náði kanínunni og drap hana.
And then... someone told me to put it out of its misery.	Svo sagði einhver mér að binda enda á þjáningar hans.
Who told you?	Hver sagði þér það.
A voice.	Rödd.
Whose voice?	Rödd hvers?
Arnold.	Arnolds.
He told me it was a killer, but it wasn't its fault.	Hann sagði mér að hann væri morðingi en það væri ekki honum að kenna.
It was made that way, and I could help it.	Hann væri gerður þannig og ég gæti hjálpað honum.
Help it?	Hjálpað honum?
If it was dead, it couldn't hurt anything anymore.	Ef hann væri dauður gæti hann ekki skaðað neitt meira.
What the fuck?	Hver andskotinn?
Oh, shit.	Fjandinn.
Hello?	Halló?
Bernard?	Bernard?
Arnold?	Arnold?
I'm in.	Ég er kominn inn.
You're up.	Það er komið að þér.
And pain, I 'd prefer it sting less next time I want one of these chats.	Ég myndi kjósa að hann yrði minni næst þegar ég vil spjalla.
Wait.	Bíddu.
What does this mean?	Hvað þýðir þetta?
Some of her attributes have already been changed.	Sumum eiginleikum hennar hefur þegar verið breytt.
Paranoia, self-preservation.	Ofsóknarbrjálæði, sjálfsbjargarviðleitni.
Fuck!	Fjandinn!
Someone's already been altering her in an unlogged session, someone with a fuck ton more privileges than us.	Einhver hefur þegar endurstillt hana í óskráðum lotum. Einhver með mun meiri aðgangsheimildir en við.
What does that mean?	Hvað þýðir það?
Don't know what it means for you, sweetheart, but I know what it means for me.	Ég veit ekki hvað það þýðir fyrir þig, gæskan, en ég veit hvað það þýðir fyrir mig.
I am done with this.	Ég er hættur þessu.
So, you're done with your little side income?	Svo þú afsalar þér aukatekjunum?
Probably your job, too.	Sennilega starfinu þínu líka.
Seeing as you have ambitions in my line of work, let me tell you what I tell my new girls...	Metnaður þinn virðist liggja á svipuðum starfsvettvangi og minn svo ég skal segja þér það sama og ég segi öllum nýju stelpunum.
Never start something you're not willing to finish.	Aldrei hefja eitthvað sem þú vilt ekki klára.
And if you're getting fucked either way, go with the lucrative version... sweetheart.	Og ef þú lendir undir á hvorn veginn sem fer skaltu velja ábatasamari leiðina, elskan.
Now... last but not least... What was it?	Og síðast en ekki síst, hvað hét það aftur?
Dad.	Pabbi...
The Hatter... who says, "If I had a world of my own, everything would be nonsense.	Sem segir: "Ef ég ætti eigin heim væri allt vitleysa.
Nothing would be what it is because everything would be what it isn't."	Ekkert væri það sem það er því allt væri það sem það er ekki."
Everything would be what it isn't?	Væri allt það sem það er ekki?
Even me.	Líka ég?
Hey. You're perfect.	Þú ert fullkominn.
You're gonna beat this.	Þú sigrast á þessu.
Hmm? I promise you.	Ég lofa þér því.
Now, let's skip to something fun.	Skiptum yfir í eitthvað skemmtilegt?
Dad.	Pabbi?
What is it, Charlie?	Hvað var það, Charlie?
Listen to me.	Hlustaðu á mig.
Listen.	Hlustaðu.
Charlie?	Charlie?
Charlie!	Charlie!
And finally, have you ever questioned the nature of your reality?	Og að lokum, hefur þú einhvern tíma efast um raunveruleika þinn?
No.	Nei.
Good.	Gott.
Now, then, I see you had a blacklisted exchange with a guest in the course of your narrative.	Ég sé að þú hefur átt í forboðnum samskiptum við gest í frásögninni þinni.
Can you tell me what happened?	Viltu segja mér hvað gerðist?
No.	Nei.
This world is as doomed as ever.	Þessi heimur er jafnglataður og áður.
And just for my peace of mind...	Og bara til að friða huga minn...
Anything about these images that jumps out to you?	Eitthvað varðandi þessar myndir sem stökkva á þig?
They don't look like anything to me.	Mér finnst þær ekki líkjast neinu.
We're through 15 % of the backlog.	Við erum komin í gegnum 15 % af vistuðu gögnunum.
As it stands, we should be caught up by end of day.	Eins og staðan er núna ættum við að klára fyrir dagslok.
Good.	Gott.
And, uh, when you're done here, sir, there's a priority request for him from management.	Þegar þú ert búin hér, herra, er forgangsbeiðni um hann frá yfirstjórninni.
Have you seen Elsie?	Hefurðu séð Elsie?
She was supposed to give me a hand on something. No.	Hún ætlaði að aðstoða mig við svolítið.
Uh, according to the system, she started her leave today.	Nei, samkvæmt kerfinu byrjaði hún leyfið sitt í dag.
Is there something I could help you with?	Er þetta eitthvað sem ég get aðstoðað þig við?
No, thanks.	Nei, takk.
Raise.	Ég hækka.
I'll call.	Ég kalla.
You're calling with that shit?	Ætlarðu að kalla með þetta drasl?
Dolores, why don't you play a hand?	Dolores, af hverju tekur þú ekki í spilin?
You're wasting your breath.	Þú sóar tíma þínum.
Girl's harboring a grudge.	Stelpan elur kala í brjósti sínu.
I don't blame you, sweetheart.	Ég álasa þér ekki, elskan.
I did some ugly things to you both.	Ég gerði ýmislegt slæmt við ykkur bæði.
But it wasn't personal.	En það var ekki persónulegt.
Confederados and the government like to call this thing a war, but they're fighting starving farmers armed with rocks.	Confederados og yfirvöld vilja kalla þetta stríð en þau berjast við sveltandi bændur vopnaða grjóti.
That ain't no war.	Það er ekki stríð.
It's a slaughter.	Það er slátrun.
If I had to do it all again, I 'd fuck you both over just as hard.	Ef ég þyrfti að gera það aftur myndi ég svíkja ykkur bæði alveg jafnhressilega.
Well, I guess we know where you stand.	Við vitum þó hvar þú stendur.
Don't pretend like you're so innocent.	Ekki þykjast svona saklaus.
Way I recollect, y 'all came to me, looking to join up with those crooked assholes and their war effort.	Eins og ég man þetta leituðuð þið til mín á þeim buxunum að ganga til liðs við þessi spilltu fífl og stríðsbröltið í þeim.
Not our idea.	Það var ekki okkar hugmynd.
My friend wanted...	Vin minn langaði...
I guess he wanted to see what was at the end of all this.	Hann hefur sennilega langað að sjá hvernig þetta endaði allt.
And yet, here you are.	En hér eruð þið samt.
Your friend didn't make it this far.	Vinur þinn náði ekki svona langt.
Maybe you've got more of an appetite for this than you think.	Kannski hefurðu meiri lyst á þessu en þú hélst.
William.	William?
What is it?	Hvað er þetta?
We're in Ghost Nation territory.	Við erum á svæði Draugaþjóðarinnar.
Most savage tribe there is.	Grimmasta ættbálks sem sögur fara af.
Those are the folks who came calling without an invitation.	Þetta er fólkið sem heimsótti landið í leyfisleysi.
You mean exactly what we're doing right now?	Eins og við gerum, áttu við?
The train's the only way through.	Lestin er eina leiðin í gegn.
On foot we'll be dead in under an hour.	Fótgangandi yrðum við drepin innan klukkustundar.
As soon as we're clear of their territory, we can stop.	Um leið og við komum út fyrir svæði þeirra getum við stoppað.
You can come with me.	Þið getið komið með mér.
Nothing here on out but slaughter.	Það er ekkert hér nema slátrun.
The user you are trying to access cannot be located.	Ekki næst í notandann sem þú reynir að ná sambandi við.
Say "message" to transcribe a message.	Segðu "skilaboð" til að hljóðrita skilaboð.
You wanted to see me?	Vildirðu hitta mig?
Is everything okay?	Er allt í lagi?
You left rather abruptly last night.	Þú fórst frekar skyndilega í gærkvöldi.
Was there something you wanted to tell me?	Var eitthvað sem þú vildir segja mér?
No, I don't think so.	Nei, það held ég ekki.
Hale is looking over every department and yours is running behind on diagnostics.	Hale yfirfer hverja einustu deild og þín er eftir á í greiningum.
It would be best if we presented at least a semblance of professionalism while the board is here.	Það væri best ef við sýndum að minnsta kosti vott af fagmennsku á meðan stjórnin er stödd hérna.
We'll be fine.	Við spjörum okkur.
Are you sure?	Ertu viss?
Yes.	Já.
Good.	Gott.
You doing okay?	Er allt í lagi með þig?
I'm fine.	Ég er góð.
Thank you.	Takk fyrir.
I'm sorry.	Fyrirgefðu.
I thought you requested a meeting.	Ég hélt að þú hefðir beðið um fund.
My mistake. I did.	Ég gerði það.
Come in.	Komdu inn.
Get back here.	Komdu aftur hingað.
Bring your friend.	Komdu með vinkonu þína.
What about you?	Hvað um þig?
What turns of fate...	Hvaða örlög...
I could come back later if this isn't a good time.	Ég get komið aftur seinna ef það stendur illa á núna.
This won't take long.	Þetta tekur enga stund.
Theresa, you've always been good at your job and the board has been impressed with your performance so far, which is why we were so surprised by this woodcutter mess.	Theresa, þú hefur alltaf staðið þig vel í starfi og stjórnin hefur alltaf verið hrifin af frammistöðu þinni.
He slipped on a fucking rock and bashed his own head in while basically on top of a behavior tech.	Hann rann á grjóti og maukaði svo á sér hausinn nánast ofan á hegðunartæknimanni.
Meanwhile, Ford is suddenly using half the park's resources to build some new narrative?	Á meðan notar Ford allt í einu helminginn af úrræðum garðsins til að setja saman einhvern nýjan söguþráð?
Can I bum a cigarette?	Má ég sníkja sígarettu?
God, I see why you took these up again.	Guð, ég skil hvers vegna þú byrjaðir aftur á þessu.
Let me remind you of something.	Ég vil minna þig á eitt.
This place, the people who work here are nothing.	Þessi staður, fólkið sem vinnur hér, er ekkert.
