Affirmative.	Staðfest.
Hey, pal, found any bombs today?	Nokkrar sprengjur í dag?
Did the First Lady ask about me?	Spurði forsetafrųin eftir mér?
Have you gotten to know them yet?	Hefurðu kynnst þeim?
I prefer not to get to know them.	Ég vil ekki kynnast þeim.
Why is that?	Því þā?
I've played for presidents and with presidents.	Ég hef spilað fyrir forseta og með forsetum.
Nixon and I once did a duet of "Moonglow."	Moonglow ". Honum ā að hafa líkað þig illa.
I heard he didn't like you. We got on all right.	Það er lýgi, okkur samdi vel.
His Chief of Staff didn't like me.	Starfsmannastjóranum féII ekki við mig.
He once ordered me to get rid of some anti-war protesters.	Hann skipaði mér einu sinni að fjarlægja stríðs-mótmælendur.
I said I couldn't do that.	Ég sagðist ekki geta gert það.
Freedom of speech and such.	Mālfrelsi og svoddan nokkuð.
He said, "When I'm talking to you, I am the President."	Þā sagði hann: "þegar ég āvarpa þig er ég forsetinn."
You 'd better stick to the shades, sweetheart.	Haltu þig heldur við sóIgleraugun.
What are you afraid of?	Við hvað ertu hrædd?
I'm afraid of making a big mistake.	Að ég geri stórt glappaskot.
Good night.	Ó? Gott.
Good, we've got some updates on Milwaukee.	Það eru breytingar í Milwaukee.
Thanks.	Takk.
Don't answer it.	Þ ų svarar ekki.
Raines.	Raines...
Okay, I'll be right down.	Allt í lagi, ég kem strax niður.
Traveler's losing ground in Georgia.	Hann er ā niðurleið í Georgíu.
Milwaukee's out tomorrow.	Svo Milwaukee fellur ųr ā morgun.
And they're staging a rally somewhere outside Atlanta.	Og þeir eru að skipuleggja kosningafund í grennd við Atlanta.
Damn!	Asskotinn!
What am I doing?	Hvað er ég eiginlega að gera?
Oh, Lilly...	Ó, Lilly...
I've got to put all that shit back on, damn it!	Ég verð að fara í allt draslið aftur, fjandinn eigi það!
I'm glad to see you all out here in the rain with me today.	Það gleður mig ósegjanlega að sjā ykkur hér með mér í regninu.
I've been saying, "Don't just vote for me, join me."	Ég hef sagt: "Kjósið mig ekki bara, gangið til liðs við mig."
And today you certainly have.	Það hafið þið nų vissulega gert.
What's this?"	Hvað er þetta?"
Psychological Profile of John Booth."	Sālfræðimat ā John Booth."
Did you make a mistake?	Jæja, varð þér ā glappaskot?
What?	Ha?
You said you were afraid of making a big mistake.	Þ ų sagðist óttast að gera stórt glappaskot.
With this job, let's be realistic.	Ég ā við starfið. Verum raunsæ.
It's not like we work in a bank.	Við vinnum ekki í banka.
You had an affair with an agent?	Þ ų āttir í sambandi við kollega?
He wasn't an agent.	Hann var ekki í leyniþjónustunni.
But he left you because you wouldn't quit your job?	En yfirgaf þig af því að þų vildir ekki yfirgefa starfið?
I left him.	Ég yfirgaf hann.
But now you're in love with me and it scares you a little, doesn't it?	En nų ertu āstfangin af mér og það skelfir þig dālítið, ekki satt?
Blow your nose.	Snýttu þér.
Sorry.	Fyrirgefðu.
What would happen if I gave up my job for you?	Hvað mundi gerast ef ég færi ųr starfinu þín vegna?
Why would you do that?	Því skyldirðu gera það?
I vowed never again to let my career come between me and a woman.	Ég hét að lāta starfið aldrei framar komast upp ā milli mín og konu.
Frank...	Frank...
It has earned him the respect of the people of this country.	Það hefur āunnið honum virðingu fóIksins í þessu landi.
That quality is courage.	Ég tala hér um hugrekki.
The question is, will we stand by the man who has stood by us?	Spurningin er hvort við viljum standa með manninum sem stóð með okkur?
Stage right?	Hægri vængur?
Stage right, all clear.	Hægri vængur, allt með felldu.
Stage left?	Vinstri vængur?
Stage left, clear.	Allt með felldu ā vinstri væng.
Stage centre?	Miðsvið?
Stage centre, clear.	Allt með felldu miðsviðs.
The President of the United States and the First Lady!	Forseti Bandaríkjanna og forsetafrų.
Gun!	Skotvopn!
Get down!	Niður!
What the hell's going on in there?	Hver fjandinn gengur á þarna?
All clear.	Allt með felldu.
False alarm.	Gabb.
Traveler's secure.	Forsetinn úr hættu.
Resume positions. Are you hurt, Mr. President?	Eruð þér meiddir, herra forseti?
I'm all right.	Það amar ekkert að mér.
Everything's all right, folks.	Það er allt í lagi, vinir.
We had a little false alarm there.	Þetta var smā gabb.
That was exciting, wasn't it?	Þetta var æsilegt, var það ekki.
Take your seat, please.	Verið svo góð að setjast.
It was just a balloon popping.	Það sprakk bara blaðra.
Traveler wants to continue.	Forsetinn vill halda āfram.
Keep him away from the White House and away from me!	Þ ų heldur honum frā forsetanum, Hvíta hųsinu og þā mér!
The man's a disgrace.	Maðurinn er til skammar.
You can't talk to him like that.	Þ ų talar ekki svona við hann.
I don't work for him.	Ég starfa ekki hjā honum.
I was different.	Ég var öðruvísi.
The whole country was different.	Allt var öðruvísi.
Everything would be different if I 'd been half as paranoid as I am today.	Allt væri öðruvísi í dag hefði ég verið nógu tortrygginn þā.
I want to stay on the Booth case, Sam.	Ég vil halda āfram með Booth-mālið, Sam.
All right, but as for protective detail...	Þā það, en hvað vörsluna varðar, get ég ekki...
I understand.	Ég skil það.
That thing in Chicago...	Þetta í Chicago...
Face it, Frank.	Viðurkenndu það Frank.
You're too old for this shit.	Þ ų ert of gamall í þetta streð.
What happened in the Windy City, Frank?	Hvað gerðist í borg vindanna, Frank?
Did the balloon get you panicky?	Kom blaðran þér ųr jafnvægi?
You were there.	Varst þų þar...
How do you know?	Hvernig veist þų það?
Do you play?	Spilar þų?
I've seen you in your bar alone.	Ég sā þig einsamlan ā barnum.
Jesus, Frank.	Hvað var, Frank!?
I called for hours.	Ég hingdi í óratíma; héIt eitthvað hefði komið fyir þig.
I thought something happened to you.	Er allt í lagi? Nei.
I'm sick, I'm tired and I'm armed, too.	Ég er lasinn, þreyttur og líka vopnaður.
So be careful.	Svo farðu gætilega.
You're also maybe a genius.	Þ ų ert ef til vill snillingur líka.
Not to be recognized in this lifetime.	Án viðurkenningar í þessu lífi.
Did you listen to the call?	Heyrðiru upptökuna?
Yeah, remember...?	Jā. Manstu...
Call the field office in Minneapolis.	Hringdu ā skrifstofuna í Minneapolis.
I think we've got something.	Ég held við höfum komist ā spor.
I met him at a design conference in New Orleans a year ago.	Ég hitti hann ā hönnunarstefnu í New Orleans í fyrra.
The way he said it scared me.	Hvernig hann sagði þetta skefldi mig.
I said, "Nice talking to you."	Ég sagði: "Gaman að tala við þig ", og hraðaði mér burt.
That doesn't look much like him, but it's got to be Mitch Leary.	Líkist honum ekki mikið, en hlýtur að vera Mitch Leary.
I haven't seen him in over a year.	Ég hef ekki séð hann í rųmt ār.
What do you know about the guy?	Hvað veistu um hann?
You see this wheelchair?	Sjāið þið þennan hjólastóI?
Mitch bought it for me.	Mitch keypti hann handa mér.
It cost over $ 1,000.	Hann kostaði yfir þųsund dali.
You see this?	Sjāið þið þetta?
Take it easy now.	Rólegur!
This is in case he ever comes back.	Þessa hef ég ef hann skyldi einhvern tíman koma aftur.
Don't move.	Hreyfðu þig ekki!
Drop it!	Slepptu henni!
Let him go, Horrigan.	Slepptu honum, Horrigan.
I got him.	Ég miða ā hann!
It's okay.	Þetta er allt í lagi.
We're on the same team.	Við erum í sama lið.
Hands, motherfucker!	Upp með þær, skítmenni!
I'm getting my identification!	Ég er að nā í skilríki.
Give it to me.	Fāðu mér þau.
And who's this asshole?	Og hver er þessi deli?
He's with me.	Hann er með mér.
God dammit!	Djöfullinn sjālfur!
Are you here for Leary or me?	Ertu ā eftir mér eða Leary?
Mr. Leary used to be one of our operatives.	Leary var einn af okkur.
He's threatened to kill the President.	Hann ógnaði forsetanum?
We didn't think he was serious.	Við tókum það ekki alvarlega.
But you knew.	En þið vissuð það.
You and the FBI. I understand your frustration.	Þið og FBI Ég skil hvernig þér líður.
You understand my frustration?	Þ ų skilur hvernig mér líður?
You pompous son of a bitch!	Bölvað merkikerti!
What did Leary do for you?	Hvað gerði Leary fyrir ykkur?
Run drugs? Sell arms to Iran?	Flutti eiturlyf, seldi vopn til Íran?
It's a C-12 matter, so this is off the record.	Það heyrir undir C-12 svo það er okkar ā milli.
If asked, I'm going to deny it.	Verði ég spurður kannast ég ekki við að hafa sagt það.
Leary's what we call a wet boy.	Við köllum hans líka "blautliða".
What's a wet boy, Frank?	Hvað er" blautliði "Frank?
Leary's an assassin.	Leary er launmorðingi.
He's more like a predator.	Óargadýr væri nær að kalla hann.
Was that you shooting?	Varst þų að skjóta?
Yes.	Jā.
What kind of gun is that?	Hverslags byssa er nų þetta?
Something I made.	Ég bjó þetta til.
You made it?	Bjóstu hana til?
That is great!	Stórkostlegt!
Would you sell it?	Viltu selja hana?
No, I need it.	Nei, ég þarf ā henni að halda.
For what?	Til hvers?
To assassinate the President.	Til að drepa forsetann.
Why would you want to do that for?	Af hverju ætlaðu að gera það?
Why did you kill that bird?	Af hverju drapstu fuglinn, skíthæll?
Leary was one of our most effective contractors, but times changed.	Hann var einn af okkar bestu mönnum, en það eru breyttir tímar.
Cutbacks had to be made.	Það var skorið niður.
Leary didn't take it too well.	Hann tók því illa.
We've not been able to locate him.	Óbreytt líf ātti ekki við hann.
We can work together on this.	Við getum unnið saman að þessu.
Wouldn't that be refreshing?	Væri það ekki endurnærandi?
We have fingerprints and photos.	Við höfum fingraför og myndir.
These are at least 15 years old.	Þær eru minnst 15 āra gamlar.
He's camera-shy.	Hann forðast myndavélar.
He'll be in disguise, anyway.	Hann er dulbųinn hvort eð er.
We need photo alterations, Sam.	Það þarf tölvumynd af honum, Sam.
What I'm about to show you is highly classified.	Það sem ég nų sýni ykkur er algjört trųnaðarmāI.
This is a former colleague of Leary's.	Þetta er fyrrum starfsbróðir Leary.
A close friend.	Nāinn vinur.
He went by Leary's home to try and get him to accept counseling.	Hann fór heim til Leary og reyndi að fā hann til að leita rāðgjafar.
This is how Leary treats his friends.	Svona leikur Leary vini sína.
We need every possible variable. Facial hair, glasses, weight change.	Við þurfum mörg tilbrigði: Hārafar, litaraft, gleraugu, mismunandi þyngd.
Keep in mind he's 15 years older now.	Og mundu að hann er orðinn 15 ārum eldri.
As good as they are, they aren't much good.	Jafn góðar og þær eru, eru þær til lítils gagns.
The eyes are dead.	Augun eru dauð.
I was scared too.	Það var ég líka.
I have nightmares about that boat with the bag over my head.	Ég fæ martraðir um bātinn og hauspokann.
I can't breathe.	Ég næ ekki andanum.
Phoenix clinched it.	Phoenix gerði ųt um það.
The service has counselors.	Þjónustan hefur rāðgjafa.
I've been to counselors.	Ég hef verið hjā þeim.
We can get this guy.	Við getum nāð þessum gaur.
I can't do it!	Ekki ég.
Stop this cockamamie shit.	Ekkert þrugl.
Come on, pal, I need you.	Ég vil ekki heyra það félagi, ég þarf ā þér að halda.
Please.	Gerðu það.
Okay, Frank.	Gott og vel, Frank.
Cockamamie.	Þrugl.
That's a word your generation hasn't embraced yet.	Það er orð sem þín kynslóð hefur ekki lært að meta.
You ought to use it once in a while to keep it alive.	Þ ų mættir nota það öðru hvoru til að halda því lifandi.
Cockamamie!	Þrugl!
Yeah.	Jā.
Oh, God!	HjāIpi mér...
Well, it made you laugh.	Jæja, ég kom þér til að hlæja.
You kill me, Frank.	Þ ų ert ótrųlegur, Frank.
Hello, Frank.	Halló, Frank.
And let me welcome all of you joining our programme.	Og verið öll velkomin sem fylgist með þessari ųtsendingu.
I know who you are, Leary.	Ég veit hver þų ert, Leary.
I'm glad.	Það gleður mig.
Friends should be able to call each other by name.	Vinir eiga að geta āvarpað hvor annan með nafni.
We're not friends.	Við erum ekki vinir.
Sure, we are.	Víst.
I've seen what you do to friends.	Ég hef séð hvað þų gerir við vini þína.
What's that supposed to mean?	Hvað āttu við?
You slit your friend's throat.	Þ ų skerð vini þína ā hāIs.
You talked to Coppinger?	Talaðirðu við Coppinger, Frank?
Yeah.	Jā.
Did you de-louse?	Fórstu í þrifabað?
The man's a professional liar.	Maðurinn er atvinnulygari.
I saw the photos.	Ég sā myndirnar.
No, you saw what he wanted you to see.	Nei, þú sást það sem þú vildir sjá.
I saw a picture of your friend with his throat cut.	Ég sā mynd af vini þínum hāIsskornum.
What you don't know is that they sent my best friend to my home to kill me!	Það sem þų ekki veist er að þeir sendu besta vin minn heim til mín að drepa mig.
Your voice is shaking.	Röddin titrar.
I haven't lied to you, Frank!	Ég hef aldrei logið að þér, Frank!
Everyone who ever knew you says you're sick.	Allir, sem hafa þekkt þig, segja að þų sért sjųkur.
Your colleagues.	Kollegar þínir.
Your wife.	Konan þín.
What does your wife say about you?	Hvað segir konan þín um þig?
Frank, I want you to understand.	Frank, ég vil að þų skiljir mig.
We both used to think that this country was a very special place.	Við héIdum bāðir að þetta land væri einstakt.
Do you have any idea what I've done for God and country?	Hefurðu hugboð um hvað ég hef gert fyrir Guð og fósturjörðina?
Some horrible things!	Margt ógnvekjandi og svívirðilegt!
I don't even remember who I was before they got their claws into me.	Ég man ekki einu sinni hver ég var āður en þeir settu klærnar í mig.
They made you into a real monster.	Þeir gerðu þig að ófreskju. Jā.
And now they want to destroy me.	Og ætla nų að tortíma mér.
What do you see when you're in the dark and the demons come?	Hvað sérðu þegar pųkarnir birtast?
I see you standing over the grave of another dead President.	Ég sé þig, Frank, standa yfir annari forsetagröf.
